Player,Base Price,Type,Cost IN ₹ (CR.),Cost IN $ (K),2023 Squad,Team
Will Jacks,Retained,Nan,0.0,0.0,Uncapped,Royal Challengers Bengaluru
Mahipal Lomror,Retained,Nan,0.0,0.0,Uncapped,Royal Challengers Bengaluru
Karn Sharma,Retained,Nan,0.0,0.0,Uncapped,Royal Challengers Bengaluru
Manoj Bhandage,Retained,Nan,0.0,0.0,Uncapped,Royal Challengers Bengaluru
Vyshak Vijaykumar,Retained,Nan,0.0,0.0,Uncapped,Royal Challengers Bengaluru
Akash Deep,Retained,Nan,0.0,0.0,Uncapped,Royal Challengers Bengaluru
Mohammed Siraj,Retained,Nan,0.0,0.0,Uncapped,Royal Challengers Bengaluru
Reece Topley,Retained,Nan,0.0,0.0,Uncapped,Royal Challengers Bengaluru
Himanshu Sharma,Retained,Nan,0.0,0.0,Uncapped,Royal Challengers Bengaluru
Rajan Kumar,Retained,Nan,0.0,0.0,Uncapped,Royal Challengers Bengaluru
Avesh Khan,Traded,Nan,0.0,0.0,Uncapped,Rajasthan Royals
Rovman Powell,10000000,Batter,7.4,888.0,DC,Rajasthan Royals
Shubham Dubey,2000000,Batter,5.8,696.0,Uncapped,Rajasthan Royals
Nandre Burger,5000000,Bowler,0.5,60.0,Uncapped,Rajasthan Royals
Tom Kohler-Cadmore,4000000,Wicketkeeper,0.4,48.0,Uncapped,Rajasthan Royals
Abid Mushtaq,2000000,All-Rounder,0.2,24.0,Uncapped,Rajasthan Royals
Sanju Samson,Retained,Nan,0.0,0.0,Uncapped,Rajasthan Royals
Jos Buttler,Retained,Nan,0.0,0.0,Uncapped,Rajasthan Royals
Shimron Hetmyer,Retained,Nan,0.0,0.0,Uncapped,Rajasthan Royals
Yashasvi Jaiswal,Retained,Nan,0.0,0.0,Uncapped,Rajasthan Royals
Dhruv Jurel,Retained,Nan,0.0,0.0,Uncapped,Rajasthan Royals
Riyan Parag,Retained,Nan,0.0,0.0,Uncapped,Rajasthan Royals
Donovan Ferreira,Retained,Nan,0.0,0.0,Uncapped,Rajasthan Royals
Kunal Rathore,Retained,Nan,0.0,0.0,Uncapped,Rajasthan Royals
Ravichandran Ashwin,Retained,Nan,0.0,0.0,Uncapped,Rajasthan Royals
Kuldeep Sen,Retained,Nan,0.0,0.0,Uncapped,Rajasthan Royals
Navdeep Saini,Retained,Nan,0.0,0.0,Uncapped,Rajasthan Royals
Prasidh Krishna,Retained,Nan,0.0,0.0,Uncapped,Rajasthan Royals
Sandeep Sharma,Retained,Nan,0.0,0.0,Uncapped,Rajasthan Royals
Trent Boult,Retained,Nan,0.0,0.0,Uncapped,Rajasthan Royals
Yuzvendra Chahal,Retained,Nan,0.0,0.0,Uncapped,Rajasthan Royals
Adam Zampa,Retained,Nan,0.0,0.0,Uncapped,Rajasthan Royals
Shahbaz Ahmed,Traded,Nan,0.0,0.0,Uncapped,Sunrisers Hyderabad
Pat Cummins,20000000,All-Rounder,20.5,2460.0,Uncapped,Sunrisers Hyderabad
Travis Head,20000000,Batter,6.8,816.0,Uncapped,Sunrisers Hyderabad
Jaydev Unadkat,5000000,Bowler,1.6,192.0,LSG,Sunrisers Hyderabad
Wanindu Hasaranga,15000000,All-Rounder,1.5,180.0,RCB,Sunrisers Hyderabad
Akash Singh,2000000,Bowler,0.2,24.0,CSK,Sunrisers Hyderabad
Jhathavedh Subramanyan,2000000,Bowler,0.2,24.0,Uncapped,Sunrisers Hyderabad
Abdul Samad,Retained,Nan,0.0,0.0,Uncapped,Sunrisers Hyderabad
Aiden Markram,Retained,Nan,0.0,0.0,Uncapped,Sunrisers Hyderabad
Rahul Tripathi,Retained,Nan,0.0,0.0,Uncapped,Sunrisers Hyderabad
Glenn Phillips,Retained,Nan,0.0,0.0,Uncapped,Sunrisers Hyderabad
Heinrich Klaasen,Retained,Nan,0.0,0.0,Uncapped,Sunrisers Hyderabad
Mayank Agarwal,Retained,Nan,0.0,0.0,Uncapped,Sunrisers Hyderabad
Anmolpreet Singh,Retained,Nan,0.0,0.0,Uncapped,Sunrisers Hyderabad
Upendra Singh Yadav,Retained,Nan,0.0,0.0,Uncapped,Sunrisers Hyderabad
Nitish Kumar Reddy,Retained,Nan,0.0,0.0,Uncapped,Sunrisers Hyderabad
Abhishek Sharma,Retained,Nan,0.0,0.0,Uncapped,Sunrisers Hyderabad
Marco Jansen,Retained,Nan,0.0,0.0,Uncapped,Sunrisers Hyderabad
Washington Sundar,Retained,Nan,0.0,0.0,Uncapped,Sunrisers Hyderabad
Sanvir Singh,Retained,Nan,0.0,0.0,Uncapped,Sunrisers Hyderabad
Bhuvneshwar Kumar,Retained,Nan,0.0,0.0,Uncapped,Sunrisers Hyderabad
T Natarajan,Retained,Nan,0.0,0.0,Uncapped,Sunrisers Hyderabad
Mayank Markande,Retained,Nan,0.0,0.0,Uncapped,Sunrisers Hyderabad
Umran Malik,Retained,Nan,0.0,0.0,Uncapped,Sunrisers Hyderabad
Fazalhaq Farooqi,Retained,Nan,0.0,0.0,Uncapped,Sunrisers Hyderabad
Karun Nair,5000000,Batter,0.0,0.0,LSG,Unsold
Steve Smith,20000000,Batter,0.0,0.0,Uncapped,Unsold
Josh Inglis,20000000,Wicketkeeper,0.0,0.0,Uncapped,Unsold
Kusal Mendis,5000000,Wicketkeeper,0.0,0.0,Uncapped,Unsold
Philip Salt,15000000,Wicketkeeper,0.0,0.0,DC,Unsold
Josh Hazlewood,20000000,Bowler,0.0,0.0,RCB,Unsold
Akeal Hosein,5000000,Bowler,0.0,0.0,SRH,Unsold
Adil Rashid,20000000,Bowler,0.0,0.0,SRH,Unsold
Mohammad Waqar Salamkheil,5000000,Bowler,0.0,0.0,Uncapped,Unsold
Tabraiz Shamsi,5000000,Bowler,0.0,0.0,Uncapped,Unsold
Ish Sodhi,7500000,Bowler,0.0,0.0,Uncapped,Unsold
Priyansh Arya,2000000,Batter,0.0,0.0,Uncapped,Unsold
Rohan Kunnummal,2000000,Batter,0.0,0.0,Uncapped,Unsold
Manan Vohra,2000000,Batter,0.0,0.0,LSG,Unsold
Raj Angad Bawa,2000000,All-Rounder,0.0,0.0,PBKS,Unsold
Sarfaraz Khan,2000000,All-Rounder,0.0,0.0,DC,Unsold
Vivrant Sharma,2000000,All-Rounder,0.0,0.0,SRH,Unsold
Atit Sheth,2000000,All-Rounder,0.0,0.0,Uncapped,Unsold
Hrithik Shokeen,2000000,All-Rounder,0.0,0.0,MI,Unsold
Urvil Patel,2000000,Wicketkeeper,0.0,0.0,GT,Unsold
Vishnu Solanki,2000000,Wicketkeeper,0.0,0.0,Uncapped,Unsold
Ishan Porel,2000000,Bowler,0.0,0.0,Uncapped,Unsold
Kuldip Yadav,2000000,Bowler,0.0,0.0,RR,Unsold
Murgan Ashwin,2000000,Bowler,0.0,0.0,RR,Unsold
Pulkit Narang,2000000,Bowler,0.0,0.0,Uncapped,Unsold
Shiva Singh,2000000,Bowler,0.0,0.0,Uncapped,Unsold
Finn Allen,7500000,Batter,0.0,0.0,RCB,Unsold
Alick Athanaze,5000000,Batter,0.0,0.0,Uncapped,Unsold
Mark Chapman,5000000,Batter,0.0,0.0,Uncapped,Unsold
Samuel Hain,5000000,Batter,0.0,0.0,Uncapped,Unsold
Reeza Hendricks,5000000,Batter,0.0,0.0,Uncapped,Unsold
Brandon King,5000000,Batter,0.0,0.0,Uncapped,Unsold
Colin Munro,15000000,Batter,0.0,0.0,Uncapped,Unsold
Rassie Van Der Dussen,20000000,Batter,0.0,0.0,Uncapped,Unsold
James Vince,20000000,Batter,0.0,0.0,Uncapped,Unsold
Ibrahim Zadran,5000000,Batter,0.0,0.0,Uncapped,Unsold
Najibullah Zadran,5000000,Batter,0.0,0.0,Uncapped,Unsold
Sean Abbott,20000000,All-Rounder,0.0,0.0,Uncapped,Unsold
Ashton Agar,10000000,All-Rounder,0.0,0.0,Uncapped,Unsold
Wesley Agar,5000000,All-Rounder,0.0,0.0,Uncapped,Unsold
Qais Ahamad,5000000,All-Rounder,0.0,0.0,Uncapped,Unsold
Rehan Ahmed,5000000,All-Rounder,0.0,0.0,Uncapped,Unsold
Fabian Allen,7500000,All-Rounder,0.0,0.0,Uncapped,Unsold
Charith Asalanka,5000000,All-Rounder,0.0,0.0,Uncapped,Unsold
Michael Bracewell,10000000,All-Rounder,0.0,0.0,RCB,Unsold
Brydon Carse,5000000,All-Rounder,0.0,0.0,Uncapped,Unsold
Ben Cutting,5000000,All-Rounder,0.0,0.0,Uncapped,Unsold
Matthew Forde,5000000,All-Rounder,0.0,0.0,Uncapped,Unsold
George Garton,5000000,All-Rounder,0.0,0.0,Uncapped,Unsold
Jason Holder,15000000,All-Rounder,0.0,0.0,RR,Unsold
George Linde,5000000,All-Rounder,0.0,0.0,Uncapped,Unsold
Keshav Maharaj,5000000,All-Rounder,0.0,0.0,Uncapped,Unsold
Wiaan Mulder,5000000,All-Rounder,0.0,0.0,Uncapped,Unsold
James Neesham,15000000,All-Rounder,0.0,0.0,Uncapped,Unsold
Jamie Overton,20000000,All-Rounder,0.0,0.0,Uncapped,Unsold
Keemo Paul,7500000,All-Rounder,0.0,0.0,Uncapped,Unsold
Dwaine Pretorius,10000000,All-Rounder,0.0,0.0,CSK,Unsold
Daniel Sams,15000000,All-Rounder,0.0,0.0,LSG,Unsold
Dasun Shanaka,5000000,All-Rounder,0.0,0.0,GT,Unsold
Matthew Short,5000000,All-Rounder,0.0,0.0,Uncapped,Unsold
Odean Smith,5000000,All-Rounder,0.0,0.0,GT,Unsold
Hanuma Vihari,5000000,All-Rounder,0.0,0.0,Uncapped,Unsold
Sam Billings,10000000,Wicketkeeper,0.0,0.0,Uncapped,Unsold
Johnson Charles,5000000,Wicketkeeper,0.0,0.0,Uncapped,Unsold
Ben Duckett,20000000,Wicketkeeper,0.0,0.0,Uncapped,Unsold
Varun Aaron,5000000,Bowler,0.0,0.0,Uncapped,Unsold
Fareed Ahmad,5000000,Bowler,0.0,0.0,Uncapped,Unsold
Taskin Ahmed,7500000,Bowler,0.0,0.0,Uncapped,Unsold
Dushmanta Chameera,5000000,Bowler,0.0,0.0,Uncapped,Unsold
Ben Dwarshuis,5000000,Bowler,0.0,0.0,Uncapped,Unsold
Richard Gleeson,5000000,Bowler,0.0,0.0,Uncapped,Unsold
Matt Henry,7500000,Bowler,0.0,0.0,Uncapped,Unsold
Md Shoriful Islam,5000000,Bowler,0.0,0.0,Uncapped,Unsold
Kyle Jamieson,10000000,Bowler,0.0,0.0,CSK,Unsold
Chris Jordan,15000000,Bowler,0.0,0.0,MI,Unsold
Siddharth Kaul,5000000,Bowler,0.0,0.0,RCB,Unsold
Lahiru Kumara,5000000,Bowler,0.0,0.0,Uncapped,Unsold
Obed Mccoy,5000000,Bowler,0.0,0.0,RR,Unsold
Riley Meredith,10000000,Bowler,0.0,0.0,MI,Unsold
Tymal Mills,15000000,Bowler,0.0,0.0,Uncapped,Unsold
Adam Milne,10000000,Bowler,0.0,0.0,CSK,Unsold
Lance Morris,7500000,Bowler,0.0,0.0,Uncapped,Unsold
Blessing Muzarabani,5000000,Bowler,0.0,0.0,Uncapped,Unsold
Richard Ngarava,5000000,Bowler,0.0,0.0,Uncapped,Unsold
Wayne Parnell,10000000,Bowler,0.0,0.0,RCB,Unsold
Ollie Robinson,7500000,Bowler,0.0,0.0,Uncapped,Unsold
George Scrimshaw,5000000,Bowler,0.0,0.0,Uncapped,Unsold
Tim Southee,15000000,Bowler,0.0,0.0,KKR,Unsold
Barinder Sran,5000000,Bowler,0.0,0.0,Uncapped,Unsold
Billy Stanlake,7500000,Bowler,0.0,0.0,Uncapped,Unsold
Olly Stone,7500000,Bowler,0.0,0.0,Uncapped,Unsold
Oshane Thomas,5000000,Bowler,0.0,0.0,Uncapped,Unsold
Sandeep Warrier,5000000,Bowler,0.0,0.0,MI,Unsold
