POS,Player,Ov,Runs,Wkts,Dots,Econ,SR,Against,Venue,Match Date,Year
1,Mohammad Hafeez,4,8,1,14,2.0,24.0,DEC,Eden Gardens,2008-04-20,2008
2,Ishant Sharma,4,9,2,14,2.25,12.0,RCB,M. Chinnaswamy Stadium,2008-04-18,2008
3,Brett Lee,4,9,1,17,2.25,24.0,MI,IS Bindra Stadium,2008-04-25,2008
4,Shaun Pollock,4,9,1,17,2.25,24.0,CSK,Wankhede Stadium,2008-05-14,2008
5,Dominic Thornely,3,7,2,12,2.33,9.0,KKR,Wankhede Stadium,2008-05-16,2008
6,Sourav Ganguly,3,7,1,10,2.33,18.0,RCB,Eden Gardens,2008-05-08,2008
7,Sohail Tanvir,4,10,3,18,2.5,8.0,RCB,Sawai Mansingh Stadium,2008-05-17,2008
8,Irfan Pathan,4,10,1,17,2.5,24.0,RR,IS Bindra Stadium,2008-05-28,2008
9,Siddharth Trivedi,3,8,1,10,2.66,18.0,DEC,Sawai Mansingh Stadium,2008-05-09,2008
10,Manpreet Gony,4,11,2,13,2.75,12.0,RCB,Chidambaram,2008-05-21,2008
11,MF Maharoof,4,11,2,10,2.75,12.0,RR,Arun Jaitley Stadium,2008-04-19,2008
12,Shaun Pollock,4,12,3,17,3.0,8.0,KKR,Wankhede Stadium,2008-05-16,2008
13,Chaminda Vaas,3,9,2,11,3.0,9.0,KKR,Eden Gardens,2008-04-20,2008
14,Ishant Sharma,3,9,1,12,3.0,18.0,DEC,Eden Gardens,2008-04-20,2008
15,Ashok Dinda,4,12,1,15,3.0,24.0,MI,Eden Gardens,2008-04-29,2008
16,Yusuf Pathan,3,9,0,10,3.0,0.0,MI,Sawai Mansingh Stadium,2008-05-26,2008
17,Muttiah Muralitharan,4,12,0,14,3.0,0.0,KKR,Chidambaram,2008-04-26,2008
18,Glenn McGrath,4,12,0,16,3.0,0.0,RR,Sawai Mansingh Stadium,2008-05-11,2008
19,Shane Watson,2,6,0,7,3.0,0.0,RCB,Sawai Mansingh Stadium,2008-05-17,2008
20,MF Maharoof,4,13,2,11,3.25,12.0,RCB,M. Chinnaswamy Stadium,2008-05-19,2008
21,Shane Watson,3,10,3,12,3.33,6.0,DC,Wankhede Stadium,2008-05-30,2008
22,Sohail Tanvir,4,14,6,16,3.5,4.0,CSK,Sawai Mansingh Stadium,2008-05-04,2008
23,Sohail Tanvir,4,14,4,15,3.5,6.0,MI,Sawai Mansingh Stadium,2008-05-26,2008
24,Sanath Jayasuriya,4,14,3,14,3.5,8.0,KKR,Eden Gardens,2008-04-29,2008
25,Anil Kumble,4,14,3,13,3.5,8.0,CSK,Chidambaram,2008-05-21,2008
26,Manpreet Gony,4,14,2,16,3.5,12.0,PBKS,Wankhede Stadium,2008-05-31,2008
27,Ashok Dinda,2,7,1,7,3.5,12.0,RCB,M. Chinnaswamy Stadium,2008-04-18,2008
28,Dale Steyn,4,14,1,17,3.5,24.0,MI,M. Chinnaswamy Stadium,2008-05-28,2008
29,Shoaib Akhtar,3,11,4,12,3.66,4.5,DC,Eden Gardens,2008-05-13,2008
30,Glenn McGrath,4,15,2,16,3.75,12.0,RCB,M. Chinnaswamy Stadium,2008-05-19,2008
31,RP Singh,4,15,2,14,3.75,12.0,MI,DY Patil Stadium,2008-04-27,2008
32,Vikram Singh,4,15,1,10,3.75,24.0,RCB,IS Bindra Stadium,2008-05-12,2008
33,Jacques Kallis,4,15,0,13,3.75,0.0,CSK,Chidambaram,2008-05-21,2008
34,Irfan Pathan,3,13,1,14,3.9,20.0,RCB,M. Chinnaswamy Stadium,2008-05-05,2008
35,Shanthakumaran Sreesanth,4,16,2,17,4.0,12.0,RCB,M. Chinnaswamy Stadium,2008-05-05,2008
36,Munaf Patel,4,16,2,12,4.0,12.0,CSK,Sawai Mansingh Stadium,2008-05-04,2008
37,Piyush Chawla,4,16,2,15,4.0,12.0,MI,IS Bindra Stadium,2008-04-25,2008
38,RP Singh,3,12,2,10,4.0,9.0,CSK,Chidambaram,2008-05-06,2008
39,Shaun Pollock,4,16,2,15,4.0,12.0,DC,DY Patil Stadium,2008-05-04,2008
40,Dale Steyn,4,16,0,14,4.0,0.0,PBKS,M. Chinnaswamy Stadium,2008-05-05,2008
41,Sanath Jayasuriya,2,8,0,5,4.0,0.0,RR,Sawai Mansingh Stadium,2008-05-26,2008
42,Sohail Tanvir,3,13,0,13,4.1,0.0,MI,DY Patil Stadium,2008-05-07,2008
43,Amit Mishra,4,17,5,11,4.25,4.8,DEC,Arun Jaitley Stadium,2008-05-15,2008
44,Munaf Patel,4,17,3,16,4.25,8.0,DC,Wankhede Stadium,2008-05-30,2008
45,Zaheer Khan,4,17,2,13,4.25,12.0,MI,Wankhede Stadium,2008-04-20,2008
46,Rajat Bhatia,4,17,2,12,4.25,12.0,RR,Arun Jaitley Stadium,2008-04-19,2008
47,Shaun Pollock,4,17,0,10,4.25,0.0,RCB,Wankhede Stadium,2008-04-20,2008
48,Manpreet Gony,4,17,0,13,4.25,0.0,KKR,Eden Gardens,2008-05-18,2008
49,Ashish Nehra,3,13,3,12,4.33,6.0,RR,DY Patil Stadium,2008-05-07,2008
50,Dwayne Bravo,3,13,2,12,4.33,9.0,KKR,Wankhede Stadium,2008-05-16,2008
51,Amit Mishra,3,13,0,7,4.33,0.0,KKR,Eden Gardens,2008-05-13,2008
52,Dilhara Fernando,4,18,4,16,4.5,6.0,RCB,M. Chinnaswamy Stadium,2008-05-28,2008
53,Pragyan Ojha,4,18,2,11,4.5,12.0,KKR,Eden Gardens,2008-04-20,2008
54,Anil Kumble,4,18,2,12,4.5,12.0,DC,M. Chinnaswamy Stadium,2008-05-19,2008
55,Irfan Pathan,4,18,2,15,4.5,12.0,KKR,IS Bindra Stadium,2008-05-03,2008
56,Manpreet Gony,4,18,1,14,4.5,24.0,MI,Chidambaram,2008-04-23,2008
57,Yusuf Pathan,2,9,0,6,4.5,0.0,CSK,Sawai Mansingh Stadium,2008-05-04,2008
58,Lakshmipathy Balaji,2,9,0,9,4.5,0.0,MI,Wankhede Stadium,2008-05-14,2008
59,Murali Kartik,3,17,3,14,4.63,7.33,DEC,Eden Gardens,2008-04-20,2008
60,Shaun Pollock,3,14,1,10,4.66,18.0,PBKS,Wankhede Stadium,2008-05-21,2008
61,Jacques Kallis,3,14,0,5,4.66,0.0,PBKS,M. Chinnaswamy Stadium,2008-05-05,2008
62,Shane Warne,4,19,3,11,4.75,8.0,PBKS,Sawai Mansingh Stadium,2008-04-21,2008
63,Dale Steyn,4,19,2,12,4.75,12.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,2008-05-25,2008
64,Mohammad Asif,4,19,2,16,4.75,12.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,2008-04-22,2008
65,Irfan Pathan,4,19,2,15,4.75,12.0,MI,IS Bindra Stadium,2008-04-25,2008
66,Daniel Vettori,4,19,1,8,4.75,24.0,RCB,Arun Jaitley Stadium,2008-04-30,2008
67,Muttiah Muralitharan,4,19,1,12,4.75,24.0,PBKS,Wankhede Stadium,2008-05-31,2008
68,Shane Watson,4,19,1,17,4.75,24.0,CSK,Sawai Mansingh Stadium,2008-05-04,2008
69,Muttiah Muralitharan,4,19,1,11,4.75,24.0,RCB,Chidambaram,2008-05-21,2008
70,Scott Styris,4,19,0,14,4.75,0.0,KKR,Eden Gardens,2008-04-20,2008
71,Shane Warne,4,20,2,9,5.0,12.0,DEC,Sawai Mansingh Stadium,2008-05-09,2008
72,Shane Watson,4,20,2,15,5.0,12.0,RCB,M. Chinnaswamy Stadium,2008-04-26,2008
73,Muttiah Muralitharan,4,20,1,13,5.0,24.0,RR,Sawai Mansingh Stadium,2008-05-04,2008
74,Manpreet Gony,3,15,1,9,5.0,18.0,DEC,Chidambaram,2008-05-06,2008
75,RP Singh,3,15,1,9,5.0,18.0,KKR,Eden Gardens,2008-04-20,2008
76,Ramesh Powar,4,20,1,12,5.0,24.0,DEC,IS Bindra Stadium,2008-05-23,2008
77,RP Singh,3,15,0,9,5.0,0.0,RCB,Rajiv Gandhi Intl. Cricket Stadium,2008-05-25,2008
78,Ashok Dinda,2,10,0,5,5.0,0.0,CSK,Eden Gardens,2008-05-18,2008
79,Dhawal Kulkarni,3,15,0,7,5.0,0.0,KKR,Eden Gardens,2008-04-29,2008
80,Shahid Afridi,2,10,0,5,5.0,0.0,RR,Sawai Mansingh Stadium,2008-05-09,2008
81,Vinay Kumar,3,15,0,8,5.0,0.0,KKR,Eden Gardens,2008-05-08,2008
82,Dale Steyn,4,20,0,13,5.0,0.0,DEC,M. Chinnaswamy Stadium,2008-05-03,2008
83,Sunil Joshi,2,10,0,5,5.0,0.0,MI,Wankhede Stadium,2008-04-20,2008
84,Dwayne Bravo,2,12,2,6,5.14,7.0,RR,DY Patil Stadium,2008-05-07,2008
85,Makhaya Ntini,4,21,4,14,5.25,6.0,KKR,Eden Gardens,2008-05-18,2008
86,Shane Watson,4,21,2,11,5.25,12.0,DC,Sawai Mansingh Stadium,2008-05-11,2008
87,Shane Warne,4,21,2,11,5.25,12.0,DC,Wankhede Stadium,2008-05-30,2008
88,Munaf Patel,4,21,2,12,5.25,12.0,RCB,Sawai Mansingh Stadium,2008-05-17,2008
89,Sourav Ganguly,4,21,2,11,5.25,12.0,RCB,M. Chinnaswamy Stadium,2008-04-18,2008
90,Glenn McGrath,4,21,1,11,5.25,24.0,CSK,Chidambaram,2008-05-02,2008
91,Irfan Pathan,4,21,1,11,5.25,24.0,RR,Sawai Mansingh Stadium,2008-04-21,2008
92,Glenn McGrath,4,21,1,16,5.25,24.0,RR,Arun Jaitley Stadium,2008-04-19,2008
93,Pradeep Sangwan,4,21,1,9,5.25,24.0,MI,DY Patil Stadium,2008-05-04,2008
94,Manpreet Gony,4,21,1,12,5.25,24.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,2008-05-27,2008
95,Makhaya Ntini,4,21,0,11,5.25,0.0,RR,DY Patil Stadium,2008-06-01,2008
96,Scott Styris,3,16,0,6,5.33,0.0,CSK,Rajiv Gandhi Intl. Cricket Stadium,2008-05-27,2008
97,Yusuf Pathan,4,22,3,10,5.5,8.0,CSK,DY Patil Stadium,2008-06-01,2008
98,Praveen Kumar,4,22,2,13,5.5,12.0,PBKS,M. Chinnaswamy Stadium,2008-05-05,2008
99,Munaf Patel,4,22,2,14,5.5,12.0,KKR,Eden Gardens,2008-05-20,2008
100,Vinay Kumar,2,11,1,6,5.5,12.0,PBKS,IS Bindra Stadium,2008-05-12,2008
101,Muttiah Muralitharan,4,22,1,8,5.5,24.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,2008-05-27,2008
102,Pragyan Ojha,4,22,1,10,5.5,24.0,CSK,Chidambaram,2008-05-06,2008
103,MF Maharoof,4,22,1,13,5.5,24.0,RR,Sawai Mansingh Stadium,2008-05-11,2008
104,Piyush Chawla,4,22,1,13,5.5,24.0,MI,Wankhede Stadium,2008-05-21,2008
105,Yuvraj Singh,2,11,1,5,5.5,12.0,DC,IS Bindra Stadium,2008-04-27,2008
106,Glenn McGrath,4,22,0,15,5.5,0.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,2008-04-22,2008
107,Anil Kumble,4,22,0,10,5.5,0.0,RR,M. Chinnaswamy Stadium,2008-04-26,2008
108,Glenn McGrath,4,22,0,8,5.5,0.0,KKR,Eden Gardens,2008-05-13,2008
109,Praveen Kumar,2,15,0,6,5.62,0.0,PBKS,IS Bindra Stadium,2008-05-12,2008
110,Balachandra Akhil,3,17,2,6,5.66,9.0,MI,Wankhede Stadium,2008-04-20,2008
111,Paidikalva Vijaykumar,3,17,1,11,5.66,18.0,CSK,Chidambaram,2008-05-06,2008
112,Makhaya Ntini,3,17,0,9,5.66,0.0,RR,Sawai Mansingh Stadium,2008-05-04,2008
113,Ashish Nehra,3,17,0,11,5.66,0.0,KKR,Wankhede Stadium,2008-05-16,2008
114,Umar Gul,4,23,4,13,5.75,6.0,PBKS,Eden Gardens,2008-05-25,2008
115,Shane Warne,4,23,3,9,5.75,8.0,RCB,Sawai Mansingh Stadium,2008-05-17,2008
116,Praveen Kumar,4,23,3,11,5.75,8.0,DEC,M. Chinnaswamy Stadium,2008-05-03,2008
117,Shahid Afridi,4,23,2,9,5.75,12.0,MI,Rajiv Gandhi Intl. Cricket Stadium,2008-05-18,2008
118,Makhaya Ntini,4,23,2,14,5.75,12.0,PBKS,Wankhede Stadium,2008-05-31,2008
119,Shane Warne,4,23,1,14,5.75,24.0,RCB,M. Chinnaswamy Stadium,2008-04-26,2008
120,Ajit Agarkar,4,23,1,13,5.75,24.0,MI,Eden Gardens,2008-04-29,2008
121,Shahid Afridi,4,23,1,6,5.75,24.0,RCB,M. Chinnaswamy Stadium,2008-05-03,2008
122,Yo Mahesh,4,23,1,9,5.75,24.0,PBKS,IS Bindra Stadium,2008-04-27,2008
123,Irfan Pathan,4,23,1,9,5.75,24.0,RCB,IS Bindra Stadium,2008-05-12,2008
124,Glenn McGrath,4,23,0,8,5.75,0.0,CSK,Arun Jaitley Stadium,2008-05-08,2008
125,Pragyan Ojha,4,23,0,8,5.75,0.0,MI,Rajiv Gandhi Intl. Cricket Stadium,2008-05-18,2008
126,Shaun Pollock,4,23,0,9,5.75,0.0,RCB,M. Chinnaswamy Stadium,2008-05-28,2008
127,Sourav Ganguly,4,23,0,8,5.75,0.0,DC,Eden Gardens,2008-05-13,2008
128,Lakshmipathy Balaji,4,24,5,12,6.0,4.8,PBKS,Chidambaram,2008-05-10,2008
129,Dwayne Bravo,4,24,3,12,6.0,8.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,2008-05-18,2008
130,Zaheer Khan,4,24,2,9,6.0,12.0,DEC,M. Chinnaswamy Stadium,2008-05-03,2008
131,Yuvraj Singh,2,12,2,5,6.0,6.0,MI,Wankhede Stadium,2008-05-21,2008
132,Irfan Pathan,4,24,1,13,6.0,24.0,CSK,Wankhede Stadium,2008-05-31,2008
133,Abhishek Nayar,3,18,1,8,6.0,18.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,2008-05-18,2008
134,Ajantha Mendis,4,24,1,9,6.0,24.0,PBKS,Eden Gardens,2008-05-25,2008
135,RP Singh,4,24,1,13,6.0,24.0,RR,Sawai Mansingh Stadium,2008-05-09,2008
136,Zaheer Khan,4,24,1,14,6.0,24.0,RR,M. Chinnaswamy Stadium,2008-04-26,2008
137,Makhaya Ntini,4,24,1,12,6.0,24.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,2008-05-27,2008
138,Muttiah Muralitharan,4,24,1,11,6.0,24.0,DEC,Chidambaram,2008-05-06,2008
139,Ashok Dinda,3,18,1,9,6.0,18.0,DEC,Eden Gardens,2008-04-20,2008
140,Paidikalva Vijaykumar,4,24,1,11,6.0,24.0,DC,Arun Jaitley Stadium,2008-05-15,2008
141,Praveen Kumar,4,24,0,7,6.0,0.0,DC,Arun Jaitley Stadium,2008-04-30,2008
142,Paidikalva Vijaykumar,3,18,0,8,6.0,0.0,RCB,M. Chinnaswamy Stadium,2008-05-03,2008
143,Venugopal Rao,4,24,0,10,6.0,0.0,KKR,Rajiv Gandhi Intl. Cricket Stadium,2008-05-11,2008
144,Ashish Nehra,3,18,0,10,6.0,0.0,RR,Sawai Mansingh Stadium,2008-05-26,2008
145,Munaf Patel,4,24,0,8,6.0,0.0,DC,Sawai Mansingh Stadium,2008-05-11,2008
146,Ishant Sharma,3,18,0,6,6.0,0.0,DC,Eden Gardens,2008-05-13,2008
147,Piyush Chawla,4,25,3,12,6.25,8.0,RCB,M. Chinnaswamy Stadium,2008-05-05,2008
148,Ashish Nehra,4,25,3,10,6.25,8.0,DC,DY Patil Stadium,2008-05-04,2008
149,Ajit Agarkar,4,25,3,15,6.25,8.0,RCB,M. Chinnaswamy Stadium,2008-04-18,2008
150,Albie Morkel,4,25,2,9,6.25,12.0,RR,DY Patil Stadium,2008-06-01,2008
1,Anil Kumble,3,5,5,13,1.57,3.8,RR,Newlands,2009-04-18,2009
2,Muttiah Muralitharan,4,8,2,16,2.0,12.0,PBKS,Kingsmead,2009-05-20,2009
3,Amit Singh,4,9,3,15,2.25,8.0,PBKS,Kingsmead,2009-05-05,2009
4,Harbhajan Singh,4,9,1,15,2.25,24.0,PBKS,Supersport Park,2009-05-12,2009
5,Praveen Kumar,3,7,2,15,2.33,9.0,RR,Newlands,2009-04-18,2009
6,Muttiah Muralitharan,4,11,3,16,2.75,8.0,RCB,St George's Park,2009-04-20,2009
7,Rohit Sharma,2,6,4,6,3.0,3.0,MI,Supersport Park,2009-05-06,2009
8,Anil Kumble,4,12,2,14,3.0,12.0,CSK,Kingsmead,2009-05-14,2009
9,Lasith Malinga,4,12,2,12,3.0,12.0,PBKS,Kingsmead,2009-04-29,2009
10,Murali Kartik,4,12,1,14,3.0,24.0,DEC,New Wanderers Stadium,2009-05-16,2009
11,Ashok Dinda,4,12,0,17,3.0,0.0,RR,Kingsmead,2009-05-20,2009
12,Dale Steyn,2,6,0,9,3.0,0.0,RR,Newlands,2009-04-18,2009
13,Dhawal Kulkarni,3,9,0,9,3.0,0.0,DC,Buffalo Park,2009-05-08,2009
14,Yuvraj Singh,4,13,3,15,3.25,8.0,DEC,New Wanderers Stadium,2009-05-17,2009
15,Albie Morkel,4,13,2,16,3.25,12.0,RCB,Kingsmead,2009-05-14,2009
16,Ravichandran Ashwin,4,13,2,11,3.25,12.0,PBKS,Kingsmead,2009-05-20,2009
17,Amit Mishra,4,14,3,15,3.5,8.0,KKR,New Wanderers Stadium,2009-05-10,2009
18,Pragyan Ojha,4,14,2,13,3.5,12.0,KKR,Newlands,2009-04-19,2009
19,Munaf Patel,4,14,2,19,3.5,12.0,KKR,Kingsmead,2009-05-20,2009
20,Tirumalasetti Suman,4,14,2,11,3.5,12.0,MI,Supersport Park,2009-05-06,2009
21,Munaf Patel,4,14,2,14,3.5,12.0,DC,Supersport Park,2009-04-28,2009
22,Jesse Ryder,4,14,2,14,3.5,12.0,RR,Newlands,2009-04-18,2009
23,Muttiah Muralitharan,3,11,2,11,3.66,9.0,DEC,Buffalo Park,2009-05-04,2009
24,Andrew Flintoff,3,11,1,10,3.66,18.0,RCB,St George's Park,2009-04-20,2009
25,Charl Langeveldt,4,15,3,16,3.75,8.0,RR,Kingsmead,2009-05-20,2009
26,Ravindra Jadeja,4,15,3,10,3.75,8.0,RCB,Supersport Park,2009-05-07,2009
27,Lasith Malinga,4,15,3,13,3.75,8.0,CSK,Newlands,2009-04-18,2009
28,Brett Lee,4,15,3,17,3.75,8.0,DC,OUTsurance Oval,2009-05-15,2009
29,Harbhajan Singh,4,15,2,10,3.75,12.0,RCB,St George's Park,2009-05-10,2009
30,Ishant Sharma,4,15,2,14,3.75,12.0,RCB,Kingsmead,2009-04-29,2009
31,Kamran Khan,4,15,2,14,3.75,12.0,PBKS,Newlands,2009-04-26,2009
32,JP Duminy,4,15,2,13,3.75,12.0,PBKS,Supersport Park,2009-05-12,2009
33,Ishant Sharma,4,15,2,14,3.75,12.0,RCB,Kingsmead,2009-04-29,2009
34,Ajit Agarkar,4,15,2,15,3.75,12.0,RR,Kingsmead,2009-05-20,2009
35,JP Duminy,4,15,1,11,3.75,24.0,DC,Buffalo Park,2009-05-08,2009
36,Andrew Symonds,4,15,1,10,3.75,24.0,RCB,Supersport Park,2009-05-21,2009
37,Muttiah Muralitharan,4,15,1,13,3.75,24.0,RCB,New Wanderers Stadium,2009-05-23,2009
38,Anil Kumble,4,16,4,12,4.0,6.0,DEC,New Wanderers Stadium,2009-05-24,2009
39,Rohit Sharma,3,12,3,6,4.0,6.0,RR,De Beers Diamond Oval,2009-05-11,2009
40,Anil Kumble,4,16,2,12,4.0,12.0,KKR,Kingsmead,2009-04-29,2009
41,RP Singh,4,16,1,11,4.0,24.0,RCB,New Wanderers Stadium,2009-05-24,2009
42,Venugopal Rao,2,8,1,4,4.0,12.0,PBKS,New Wanderers Stadium,2009-05-17,2009
43,Wilkin Mota,2,8,1,4,4.0,12.0,CSK,Kingsmead,2009-05-20,2009
44,Muttiah Muralitharan,4,16,1,15,4.0,24.0,KKR,Supersport Park,2009-05-18,2009
45,Brett Lee,4,16,0,14,4.0,0.0,CSK,Kingsmead,2009-05-20,2009
46,Ramesh Powar,2,8,0,6,4.0,0.0,KKR,St George's Park,2009-05-03,2009
47,Sudeep Tyagi,2,8,0,7,4.0,0.0,RR,Supersport Park,2009-04-30,2009
48,Piyush Chawla,2,8,0,6,4.0,0.0,KKR,Kingsmead,2009-04-21,2009
49,Suresh Raina,2,8,0,2,4.0,0.0,PBKS,Supersport Park,2009-05-07,2009
50,Irfan Pathan,3,14,0,10,4.2,0.0,MI,Supersport Park,2009-05-12,2009
51,Harbhajan Singh,4,17,4,12,4.25,6.0,DC,Supersport Park,2009-05-21,2009
52,Suresh Raina,4,17,2,11,4.25,12.0,PBKS,Kingsmead,2009-05-20,2009
53,RP Singh,4,17,2,13,4.25,12.0,RCB,Newlands,2009-04-22,2009
54,Muttiah Muralitharan,4,17,1,11,4.25,24.0,DEC,Kingsmead,2009-04-27,2009
55,Jacques Kallis,4,17,1,11,4.25,24.0,DC,New Wanderers Stadium,2009-05-19,2009
56,Abhishek Nayar,3,13,3,8,4.33,6.0,KKR,St George's Park,2009-04-27,2009
57,Lakshmipathy Balaji,3,13,1,6,4.33,18.0,RR,De Beers Diamond Oval,2009-05-09,2009
58,Ishant Sharma,3,13,0,13,4.33,0.0,DEC,Newlands,2009-04-19,2009
59,Ishant Sharma,3,13,0,13,4.33,0.0,DEC,Newlands,2009-04-19,2009
60,Kamran Khan,4,18,3,10,4.5,8.0,KKR,Newlands,2009-04-23,2009
61,Balachandra Akhil,4,18,2,8,4.5,12.0,DEC,Supersport Park,2009-05-21,2009
62,Suresh Raina,4,18,2,10,4.5,12.0,DEC,Kingsmead,2009-04-27,2009
63,RP Singh,4,18,2,15,4.5,12.0,RR,St George's Park,2009-05-02,2009
64,Shane Warne,4,18,2,14,4.5,12.0,RCB,Newlands,2009-04-18,2009
65,Jacques Kallis,4,18,2,12,4.5,12.0,CSK,Kingsmead,2009-05-14,2009
66,Sudeep Tyagi,2,9,1,9,4.5,12.0,DEC,Buffalo Park,2009-05-04,2009
67,Amit Mishra,4,18,0,14,4.5,0.0,KKR,Kingsmead,2009-05-05,2009
68,Yuvraj Singh,2,9,0,6,4.5,0.0,RR,Newlands,2009-04-26,2009
69,JP Duminy,2,9,0,3,4.5,0.0,CSK,St George's Park,2009-05-16,2009
70,Murali Kartik,4,18,0,8,4.5,0.0,DC,Kingsmead,2009-05-05,2009
71,Manpreet Gony,2,9,0,6,4.5,0.0,PBKS,Kingsmead,2009-05-20,2009
72,Kevin Pietersen,3,14,1,7,4.66,18.0,CSK,St George's Park,2009-04-20,2009
73,Zaheer Khan,3,14,1,10,4.66,18.0,KKR,St George's Park,2009-04-27,2009
74,Lasith Malinga,2,11,3,9,4.71,4.66,KKR,St George's Park,2009-04-27,2009
75,Amit Singh,4,19,4,14,4.75,6.0,RCB,Supersport Park,2009-05-07,2009
76,Amit Mishra,4,19,3,13,4.75,8.0,DEC,Supersport Park,2009-05-22,2009
77,Lakshmipathy Balaji,4,19,3,12,4.75,8.0,DC,Kingsmead,2009-04-23,2009
78,Lasith Malinga,4,19,3,16,4.75,8.0,DEC,Kingsmead,2009-04-25,2009
79,Siddharth Trivedi,4,19,2,10,4.75,12.0,MI,Kingsmead,2009-05-14,2009
80,Chaminda Vaas,4,19,2,14,4.75,12.0,RR,De Beers Diamond Oval,2009-05-11,2009
81,Ajantha Mendis,4,19,2,9,4.75,12.0,RR,Newlands,2009-04-23,2009
82,Irfan Pathan,4,19,2,14,4.75,12.0,RCB,Kingsmead,2009-05-01,2009
83,Yusuf Abdulla,4,19,2,15,4.75,12.0,MI,Kingsmead,2009-04-29,2009
84,Johan Botha,4,19,2,13,4.75,12.0,KKR,Kingsmead,2009-05-20,2009
85,RP Singh,4,19,2,13,4.75,12.0,MI,Supersport Park,2009-05-06,2009
86,Amit Mishra,4,19,1,9,4.75,24.0,RCB,St George's Park,2009-04-26,2009
87,Ramesh Powar,4,19,1,9,4.75,24.0,CSK,Kingsmead,2009-05-20,2009
88,Lasith Malinga,4,19,1,13,4.75,24.0,CSK,St George's Park,2009-05-16,2009
89,Anil Kumble,4,19,1,7,4.75,24.0,PBKS,Kingsmead,2009-04-24,2009
90,Zaheer Khan,4,19,1,8,4.75,24.0,PBKS,Kingsmead,2009-04-29,2009
91,Yusuf Pathan,4,19,1,15,4.75,24.0,DEC,St George's Park,2009-05-02,2009
92,Piyush Chawla,4,19,1,11,4.75,24.0,RCB,Kingsmead,2009-04-24,2009
93,Muttiah Muralitharan,4,19,0,12,4.75,0.0,MI,St George's Park,2009-05-16,2009
94,Vikram Singh,4,19,0,9,4.75,0.0,RR,Newlands,2009-04-26,2009
95,Dimitri Mascarenhas,4,20,3,15,5.0,8.0,RCB,Newlands,2009-04-18,2009
96,Shoaib Ahmed,4,20,2,14,5.0,12.0,DC,Supersport Park,2009-04-30,2009
97,Ryan Harris,4,20,2,12,5.0,12.0,KKR,New Wanderers Stadium,2009-05-16,2009
98,Shanthakumaran Sreesanth,4,20,2,14,5.0,12.0,DC,OUTsurance Oval,2009-05-15,2009
99,Irfan Pathan,4,20,2,10,5.0,12.0,MI,Kingsmead,2009-04-29,2009
100,Jacques Kallis,4,20,1,12,5.0,24.0,RR,Supersport Park,2009-05-07,2009
101,Andrew Symonds,2,10,1,8,5.0,12.0,PBKS,New Wanderers Stadium,2009-05-17,2009
102,Harbhajan Singh,3,15,1,7,5.0,18.0,CSK,Newlands,2009-04-18,2009
103,Siddharth Trivedi,4,20,1,13,5.0,24.0,PBKS,Kingsmead,2009-05-05,2009
104,Praveen Kumar,3,15,0,10,5.0,0.0,MI,New Wanderers Stadium,2009-05-03,2009
105,Amit Mishra,4,20,0,12,5.0,0.0,MI,Buffalo Park,2009-05-08,2009
106,Ramesh Powar,2,10,0,2,5.0,0.0,RR,Newlands,2009-04-26,2009
107,Murali Kartik,4,20,0,9,5.0,0.0,DC,New Wanderers Stadium,2009-05-10,2009
108,Harmeet Singh Bansal,3,15,0,7,5.0,0.0,DC,Supersport Park,2009-05-22,2009
109,Sudeep Tyagi,2,10,0,6,5.0,0.0,PBKS,Supersport Park,2009-05-07,2009
110,Shanthakumaran Sreesanth,2,10,0,8,5.0,0.0,DEC,New Wanderers Stadium,2009-05-17,2009
111,KP Appanna,2,10,0,4,5.0,0.0,PBKS,Kingsmead,2009-05-01,2009
112,Laxmi Ratan Shukla,4,20,0,13,5.0,0.0,RR,Kingsmead,2009-05-20,2009
113,Piyush Chawla,4,20,0,11,5.0,0.0,DEC,New Wanderers Stadium,2009-05-17,2009
114,Chris Gayle,4,20,0,7,5.0,0.0,RR,Newlands,2009-04-23,2009
115,Tyron Henderson,2,10,0,5,5.0,0.0,KKR,Kingsmead,2009-05-20,2009
116,Morne Morkel,4,20,0,12,5.0,0.0,RCB,Supersport Park,2009-05-07,2009
117,Pragyan Ojha,4,21,3,10,5.25,8.0,MI,Kingsmead,2009-04-25,2009
118,Yusuf Abdulla,4,21,3,14,5.25,8.0,RR,Newlands,2009-04-26,2009
119,Albie Morkel,4,21,2,10,5.25,12.0,RR,Supersport Park,2009-04-30,2009
120,Dhawal Kulkarni,4,21,1,13,5.25,24.0,DEC,Supersport Park,2009-05-06,2009
121,Harbhajan Singh,4,21,1,9,5.25,24.0,DC,Buffalo Park,2009-05-08,2009
122,Ajantha Mendis,4,21,1,9,5.25,24.0,RCB,Supersport Park,2009-05-12,2009
123,Chris Gayle,4,21,1,9,5.25,24.0,MI,Buffalo Park,2009-05-01,2009
