POS,Player,Runs,BF,4s,6s,Against,Venue,Match Date,Year
77,Chris Lynn,55,36,4,3,SRH,Rajiv Gandhi Intl. Cricket Stadium,2018-05-19,2018
78,Sanju Samson,52,36,4,0,MI,Sawai Mansingh Stadium,2018-04-22,2018
79,Virat Kohli,68,37,5,3,KKR,M. Chinnaswamy Stadium,2018-04-29,2018
80,Faf du Plessis,67,37,5,4,SRH,Wankhede Stadium,2018-05-22,2018
81,Evin Lewis,60,37,4,4,RR,Wankhede Stadium,2018-05-13,2018
82,Manish Pandey,57,37,3,1,PBKS,IS Bindra Stadium,2018-04-19,2018
83,Parthiv Patel,53,37,5,2,CSK,Maharashtra Cricket Association's International Stadium,2018-05-05,2018
84,Jos Buttler,51,37,7,0,PBKS,Holkar Cricket Stadium,2018-05-06,2018
85,Kane Williamson,51,37,5,2,CSK,Maharashtra Cricket Association's International Stadium,2018-05-13,2018
86,Sanju Samson,50,37,4,2,KKR,Eden Gardens,2018-05-23,2018
87,Kane Williamson,83,38,8,2,DC,Arun Jaitley Stadium,2018-05-10,2018
88,Rahul Tripathi,80,38,5,3,RCB,Sawai Mansingh Stadium,2018-05-19,2018
89,Shikhar Dhawan,79,38,10,3,CSK,Maharashtra Cricket Association's International Stadium,2018-05-13,2018
90,Prithvi Shaw,62,38,7,2,KKR,Arun Jaitley Stadium,2018-04-27,2018
91,Chris Gayle,50,38,6,2,MI,Holkar Cricket Stadium,2018-05-04,2018
92,Shikhar Dhawan,50,38,5,1,KKR,Rajiv Gandhi Intl. Cricket Stadium,2018-05-19,2018
93,Chris Gayle,104,39,1,11,SRH,IS Bindra Stadium,2018-04-19,2018
94,Kane Williamson,54,39,3,2,PBKS,IS Bindra Stadium,2018-04-19,2018
95,Suresh Raina,54,39,5,2,SRH,Rajiv Gandhi Intl. Cricket Stadium,2018-04-22,2018
96,Ambati Rayudu,82,40,3,8,RCB,M. Chinnaswamy Stadium,2018-04-25,2018
97,Virat Kohli,92,41,7,4,MI,Wankhede Stadium,2018-04-17,2018
98,Shreyas Iyer,57,41,5,1,PBKS,Arun Jaitley Stadium,2018-04-23,2018
99,Hardik Pandya,50,41,5,1,RCB,M. Chinnaswamy Stadium,2018-05-01,2018
100,Ajinkya Rahane,65,42,5,1,SRH,Sawai Mansingh Stadium,2018-04-29,2018
101,Chris Lynn,62,42,7,1,RCB,M. Chinnaswamy Stadium,2018-04-29,2018
102,Kane Williamson,50,43,4,1,KKR,Eden Gardens,2018-04-14,2018
103,KL Rahul,84,44,7,3,RR,Holkar Cricket Stadium,2018-05-06,2018
104,Suresh Raina,61,45,4,2,PBKS,Maharashtra Cricket Association's International Stadium,2018-05-20,2018
105,KL Rahul,95,48,11,2,RR,Sawai Mansingh Stadium,2018-05-08,2018
106,Manish Pandey,54,48,3,1,PBKS,Rajiv Gandhi Intl. Cricket Stadium,2018-04-26,2018
1,Hardik Pandya,91,17,6,9,KKR,Eden Gardens,2019-04-28,2019
2,Rishabh Pant,78,18,7,7,MI,Wankhede Stadium,2019-03-24,2019
3,KL Rahul,71,19,7,5,CSK,IS Bindra Stadium,2019-05-05,2019
4,Andre Russell,65,21,2,9,RCB,Eden Gardens,2019-04-19,2019
5,Kieron Pollard,83,22,3,10,PBKS,Wankhede Stadium,2019-04-10,2019
6,Andre Russell,62,23,4,6,DC,Arun Jaitley Stadium,2019-03-30,2019
7,Sam Curran,55,23,7,2,KKR,IS Bindra Stadium,2019-05-03,2019
8,Moeen Ali,66,24,5,6,KKR,Eden Gardens,2019-04-19,2019
9,David Warner,50,24,10,0,CSK,Rajiv Gandhi Intl. Cricket Stadium,2019-04-17,2019
10,Manish Pandey,83,25,7,3,CSK,Chidambaram,2019-04-23,2019
11,Chris Gayle,69,25,6,5,DC,Arun Jaitley Stadium,2019-04-20,2019
12,Shikhar Dhawan,54,25,8,2,RR,Sawai Mansingh Stadium,2019-04-22,2019
13,Rishabh Pant,78,26,6,4,RR,Sawai Mansingh Stadium,2019-04-22,2019
14,David Warner,69,26,9,2,RR,Rajiv Gandhi Intl. Cricket Stadium,2019-03-29,2019
15,Manish Pandey,61,27,9,0,RR,Sawai Mansingh Stadium,2019-04-27,2019
16,Chris Lynn,54,27,8,2,MI,Eden Gardens,2019-04-28,2019
17,Jonny Bairstow,114,28,12,7,RCB,Rajiv Gandhi Intl. Cricket Stadium,2019-03-31,2019
18,Chris Gayle,99,28,10,5,RCB,IS Bindra Stadium,2019-04-13,2019
19,Jonny Bairstow,80,28,7,4,KKR,Rajiv Gandhi Intl. Cricket Stadium,2019-04-21,2019
20,David Warner,67,28,3,5,KKR,Rajiv Gandhi Intl. Cricket Stadium,2019-04-21,2019
21,AB de Villiers,63,28,5,4,KKR,M. Chinnaswamy Stadium,2019-04-05,2019
22,Nitish Rana,63,28,2,7,PBKS,Eden Gardens,2019-03-27,2019
23,Mayank Agarwal,58,28,6,1,KKR,Eden Gardens,2019-03-27,2019
24,Jos Buttler,89,29,8,7,MI,Wankhede Stadium,2019-04-13,2019
25,Jos Buttler,69,29,10,2,PBKS,Sawai Mansingh Stadium,2019-03-25,2019
26,Parthiv Patel,67,29,9,1,RR,Sawai Mansingh Stadium,2019-04-02,2019
27,Prithvi Shaw,99,30,12,3,KKR,Arun Jaitley Stadium,2019-03-30,2019
28,Andre Russell,80,30,6,8,MI,Eden Gardens,2019-04-28,2019
29,David Warner,85,31,9,3,KKR,Eden Gardens,2019-03-24,2019
30,Virat Kohli,84,31,9,2,KKR,M. Chinnaswamy Stadium,2019-04-05,2019
31,AB de Villiers,70,31,4,6,MI,M. Chinnaswamy Stadium,2019-03-28,2019
32,Chris Gayle,63,31,3,7,MI,Wankhede Stadium,2019-04-10,2019
33,Prithvi Shaw,56,31,6,2,SRH,ACA-VDCA Stadium,2019-05-08,2019
34,Shane Watson,50,31,3,4,DC,ACA-VDCA Stadium,2019-05-10,2019
35,Chris Lynn,50,31,6,3,RR,Sawai Mansingh Stadium,2019-04-07,2019
36,Moeen Ali,50,31,1,5,MI,Wankhede Stadium,2019-04-15,2019
37,Steve Smith,50,31,8,0,DC,Sawai Mansingh Stadium,2019-04-22,2019
38,Ajinkya Rahane,105,32,11,3,DC,Sawai Mansingh Stadium,2019-04-22,2019
39,David Warner,100,32,5,5,RCB,Rajiv Gandhi Intl. Cricket Stadium,2019-03-31,2019
40,Shikhar Dhawan,97,32,11,2,KKR,Eden Gardens,2019-04-12,2019
41,Shubman Gill,76,32,6,4,MI,Eden Gardens,2019-04-28,2019
42,Shimron Hetmyer,75,32,4,6,SRH,M. Chinnaswamy Stadium,2019-05-04,2019
43,Nitish Rana,85,33,9,5,RCB,Eden Gardens,2019-04-19,2019
44,Chris Gayle,79,33,8,4,RR,Sawai Mansingh Stadium,2019-03-25,2019
45,Faf du Plessis,54,33,2,4,PBKS,Chidambaram,2019-04-06,2019
46,Yuvraj Singh,53,33,5,3,DC,Wankhede Stadium,2019-03-24,2019
47,Sanju Samson,102,34,10,4,SRH,Rajiv Gandhi Intl. Cricket Stadium,2019-03-29,2019
48,Quinton de Kock,81,34,6,4,RR,Wankhede Stadium,2019-04-13,2019
49,KL Rahul,71,34,7,1,SRH,IS Bindra Stadium,2019-04-08,2019
50,Quinton de Kock,65,34,6,2,RR,Sawai Mansingh Stadium,2019-04-20,2019
51,Shubman Gill,65,34,7,2,DC,Eden Gardens,2019-04-12,2019
52,Suresh Raina,59,34,8,1,DC,Chidambaram,2019-05-01,2019
53,Suresh Raina,53,34,5,2,PBKS,IS Bindra Stadium,2019-05-05,2019
54,Shreyas Iyer,52,34,2,3,RCB,Arun Jaitley Stadium,2019-04-28,2019
55,Dinesh Karthik,97,35,7,9,RR,Eden Gardens,2019-04-25,2019
56,Shane Watson,96,35,9,6,SRH,Chidambaram,2019-04-23,2019
57,MS Dhoni,84,35,5,7,RCB,M. Chinnaswamy Stadium,2019-04-21,2019
58,AB de Villiers,82,35,3,7,PBKS,M. Chinnaswamy Stadium,2019-04-24,2019
59,Nitish Rana,68,35,8,3,SRH,Eden Gardens,2019-03-24,2019
60,Quinton de Kock,60,35,6,2,PBKS,IS Bindra Stadium,2019-03-30,2019
61,AB de Villiers,59,35,5,2,PBKS,IS Bindra Stadium,2019-04-13,2019
62,Dinesh Karthik,50,35,5,2,DC,Arun Jaitley Stadium,2019-03-30,2019
63,Chris Lynn,82,36,7,6,CSK,Eden Gardens,2019-04-14,2019
64,Shubman Gill,65,36,5,2,PBKS,IS Bindra Stadium,2019-05-03,2019
65,David Miller,59,36,5,3,KKR,Eden Gardens,2019-03-27,2019
66,Suresh Raina,58,36,7,1,KKR,Eden Gardens,2019-04-14,2019
67,Shikhar Dhawan,56,36,7,1,PBKS,Arun Jaitley Stadium,2019-04-20,2019
68,Parthiv Patel,53,36,2,4,CSK,M. Chinnaswamy Stadium,2019-04-21,2019
69,Shikhar Dhawan,50,36,5,2,RCB,Arun Jaitley Stadium,2019-04-28,2019
70,Faf du Plessis,96,37,10,4,PBKS,IS Bindra Stadium,2019-05-05,2019
71,Suryakumar Yadav,71,37,10,0,CSK,Chidambaram,2019-05-07,2019
72,Manish Pandey,71,37,8,2,MI,Wankhede Stadium,2019-05-02,2019
73,Shreyas Iyer,67,37,8,2,RCB,M. Chinnaswamy Stadium,2019-04-07,2019
74,Rohit Sharma,67,37,6,3,CSK,Chidambaram,2019-04-26,2019
75,Virat Kohli,67,37,8,0,PBKS,IS Bindra Stadium,2019-04-13,2019
76,Faf du Plessis,50,37,7,1,DC,ACA-VDCA Stadium,2019-05-10,2019
77,David Warner,81,38,7,2,PBKS,Rajiv Gandhi Intl. Cricket Stadium,2019-04-29,2019
78,KL Rahul,79,38,4,5,SRH,Rajiv Gandhi Intl. Cricket Stadium,2019-04-29,2019
79,Kane Williamson,70,38,5,4,RCB,M. Chinnaswamy Stadium,2019-05-04,2019
80,Ajinkya Rahane,70,38,4,3,SRH,Rajiv Gandhi Intl. Cricket Stadium,2019-03-29,2019
81,Jos Buttler,59,38,8,1,RCB,Sawai Mansingh Stadium,2019-04-02,2019
82,Suryakumar Yadav,59,38,8,1,CSK,Wankhede Stadium,2019-04-03,2019
83,Rishabh Pant,53,38,2,5,RR,Arun Jaitley Stadium,2019-05-04,2019
84,MS Dhoni,75,39,4,4,RR,Chidambaram,2019-03-31,2019
85,Gurkeerat Mann Singh,65,39,8,1,SRH,M. Chinnaswamy Stadium,2019-05-04,2019
86,Jonny Bairstow,61,39,3,3,CSK,Rajiv Gandhi Intl. Cricket Stadium,2019-04-17,2019
87,MS Dhoni,58,39,2,3,RR,Sawai Mansingh Stadium,2019-04-11,2019
88,David Warner,57,39,3,2,CSK,Chidambaram,2019-04-23,2019
89,Virat Kohli,100,40,9,4,KKR,Eden Gardens,2019-04-19,2019
90,Steve Smith,59,40,5,1,MI,Sawai Mansingh Stadium,2019-04-20,2019
91,Mayank Agarwal,55,40,3,3,SRH,IS Bindra Stadium,2019-04-08,2019
92,KL Rahul,100,41,6,6,MI,Wankhede Stadium,2019-04-10,2019
93,AB de Villiers,75,41,6,4,MI,Wankhede Stadium,2019-04-15,2019
94,Robin Uthappa,67,41,6,2,PBKS,Eden Gardens,2019-03-27,2019
95,Ambati Rayudu,57,41,2,3,RR,Sawai Mansingh Stadium,2019-04-11,2019
96,KL Rahul,55,41,3,1,CSK,Chidambaram,2019-04-06,2019
97,Sarfaraz Khan,67,42,4,2,CSK,Chidambaram,2019-04-06,2019
98,Shane Watson,80,44,8,4,MI,Rajiv Gandhi Intl. Cricket Stadium,2019-05-12,2019
99,Steve Smith,73,44,7,1,KKR,Sawai Mansingh Stadium,2019-04-07,2019
100,Rohit Sharma,55,44,8,0,KKR,Wankhede Stadium,2019-05-05,2019
101,Rahul Tripathi,50,44,4,0,PBKS,IS Bindra Stadium,2019-04-16,2019
102,Andre Russell,50,44,5,3,CSK,Chidambaram,2019-04-09,2019
103,KL Rahul,71,45,6,1,MI,IS Bindra Stadium,2019-03-30,2019
104,Shreyas Iyer,58,45,5,1,PBKS,Arun Jaitley Stadium,2019-04-20,2019
105,KL Rahul,52,45,3,2,RR,IS Bindra Stadium,2019-04-16,2019
106,Chris Lynn,51,45,4,1,SRH,Rajiv Gandhi Intl. Cricket Stadium,2019-04-21,2019
107,Shikhar Dhawan,51,45,7,0,CSK,Arun Jaitley Stadium,2019-03-26,2019
108,Kedar Jadhav,58,46,8,1,MI,Wankhede Stadium,2019-04-03,2019
109,David Warner,51,46,3,1,DC,Rajiv Gandhi Intl. Cricket Stadium,2019-04-14,2019
110,Riyan Parag,50,47,4,2,DC,Arun Jaitley Stadium,2019-05-04,2019
111,Quinton de Kock,69,48,6,2,SRH,Wankhede Stadium,2019-05-02,2019
112,David Warner,70,49,6,1,PBKS,IS Bindra Stadium,2019-04-08,2019
1,Nicholas Pooran,77,17,5,7,SRH,Dubai International Stadium,2020-10-08,2020
2,Sanju Samson,74,19,1,9,CSK,Sharjah Cricket Stadium,2020-09-22,2020
3,Kieron Pollard,60,20,3,5,RCB,Dubai International Stadium,2020-09-28,2020
4,Hardik Pandya,60,20,2,7,RR,Zayed Cricket Stadium,2020-10-25,2020
5,Marcus Stoinis,53,20,7,3,PBKS,Dubai International Stadium,2020-09-20,2020
6,Dinesh Karthik,58,22,8,2,PBKS,Zayed Cricket Stadium,2020-10-10,2020
7,AB de Villiers,55,22,1,6,RR,Dubai International Stadium,2020-10-17,2020
8,AB de Villiers,73,23,5,6,KKR,Sharjah Cricket Stadium,2020-10-12,2020
9,AB de Villiers,55,23,4,4,MI,Dubai International Stadium,2020-09-28,2020
10,Priyam Garg,51,23,6,1,CSK,Dubai International Stadium,2020-10-02,2020
11,Sunil Narine,64,24,6,4,DC,Zayed Cricket Stadium,2020-10-24,2020
12,Marcus Stoinis,53,24,6,2,RCB,Dubai International Stadium,2020-10-05,2020
13,Ben Stokes,50,24,6,3,PBKS,Zayed Cricket Stadium,2020-10-30,2020
14,Quinton de Kock,78,25,9,3,KKR,Zayed Cricket Stadium,2020-10-16,2020
15,David Warner,66,25,8,2,DC,Dubai International Stadium,2020-10-27,2020
16,Chris Gayle,51,25,2,5,KKR,Sharjah Cricket Stadium,2020-10-26,2020
17,Mayank Agarwal,106,26,10,7,RR,Sharjah Cricket Stadium,2020-09-27,2020
18,Shreyas Iyer,88,26,7,6,KKR,Sharjah Cricket Stadium,2020-10-03,2020
19,Shikhar Dhawan,78,26,6,2,SRH,Zayed Cricket Stadium,2020-11-08,2020
20,Deepak Hooda,62,26,3,4,CSK,Zayed Cricket Stadium,2020-11-01,2020
21,Steve Smith,50,26,7,2,PBKS,Sharjah Cricket Stadium,2020-09-27,2020
22,Wriddhiman Saha,87,27,12,2,DC,Dubai International Stadium,2020-10-27,2020
23,Sanju Samson,85,27,4,7,PBKS,Sharjah Cricket Stadium,2020-09-27,2020
24,Sanju Samson,54,27,4,3,MI,Zayed Cricket Stadium,2020-10-25,2020
25,Nicholas Pooran,53,27,6,3,DC,Dubai International Stadium,2020-10-20,2020
26,Ben Stokes,107,28,14,3,MI,Zayed Cricket Stadium,2020-10-25,2020
27,Shikhar Dhawan,106,28,12,3,PBKS,Dubai International Stadium,2020-10-20,2020
28,Jonny Bairstow,97,28,7,6,PBKS,Dubai International Stadium,2020-10-08,2020
29,Manish Pandey,83,28,4,8,RR,Dubai International Stadium,2020-10-22,2020
30,Shikhar Dhawan,101,29,14,1,CSK,Sharjah Cricket Stadium,2020-10-17,2020
31,Suryakumar Yadav,79,29,10,3,RCB,Zayed Cricket Stadium,2020-10-28,2020
32,Faf du Plessis,72,29,1,7,RR,Sharjah Cricket Stadium,2020-09-22,2020
33,Ishan Kishan,68,29,6,5,CSK,Sharjah Cricket Stadium,2020-10-23,2020
34,AB de Villiers,51,29,4,2,SRH,Dubai International Stadium,2020-09-21,2020
35,Devdutt Padikkal,74,30,12,1,MI,Zayed Cricket Stadium,2020-10-28,2020
36,Eoin Morgan,68,30,5,6,RR,Dubai International Stadium,2020-11-01,2020
37,Shikhar Dhawan,57,30,6,2,RR,Dubai International Stadium,2020-10-14,2020
38,Steve Smith,57,30,6,1,RCB,Dubai International Stadium,2020-10-17,2020
39,Ishan Kishan,55,30,4,3,DC,Dubai International Stadium,2020-11-05,2020
40,Rahul Tewatia,53,30,0,7,PBKS,Sharjah Cricket Stadium,2020-09-27,2020
41,Suryakumar Yadav,53,30,6,1,DC,Zayed Cricket Stadium,2020-10-11,2020
42,Shane Watson,83,31,11,3,PBKS,Dubai International Stadium,2020-10-04,2020
43,Rahul Tripathi,81,31,8,3,CSK,Zayed Cricket Stadium,2020-10-07,2020
44,Aaron Finch,52,31,7,1,MI,Dubai International Stadium,2020-09-28,2020
45,Quinton de Kock,67,32,4,4,SRH,Sharjah Cricket Stadium,2020-10-04,2020
46,Nitish Rana,58,32,4,4,DC,Sharjah Cricket Stadium,2020-10-03,2020
47,Chris Gayle,99,33,6,8,RR,Zayed Cricket Stadium,2020-10-30,2020
48,Faf du Plessis,87,33,11,1,PBKS,Dubai International Stadium,2020-10-04,2020
49,Suryakumar Yadav,79,33,11,2,RR,Zayed Cricket Stadium,2020-10-06,2020
50,Ambati Rayudu,71,33,6,3,MI,Zayed Cricket Stadium,2020-09-19,2020
51,Mayank Agarwal,56,33,6,1,KKR,Zayed Cricket Stadium,2020-10-10,2020
52,Quinton de Kock,53,33,4,3,DC,Zayed Cricket Stadium,2020-10-11,2020
53,Jos Buttler,70,34,4,5,MI,Zayed Cricket Stadium,2020-10-06,2020
54,Devdutt Padikkal,63,34,6,1,RR,Zayed Cricket Stadium,2020-10-03,2020
55,David Warner,60,34,5,2,MI,Sharjah Cricket Stadium,2020-10-04,2020
56,Wriddhiman Saha,58,34,7,1,MI,Sharjah Cricket Stadium,2020-11-03,2020
57,Ravindra Jadeja,50,34,5,2,SRH,Dubai International Stadium,2020-10-02,2020
58,David Warner,85,35,10,1,MI,Sharjah Cricket Stadium,2020-11-03,2020
59,Nitish Rana,81,35,13,1,DC,Zayed Cricket Stadium,2020-10-24,2020
60,KL Rahul,77,35,7,3,MI,Dubai International Stadium,2020-10-18,2020
61,KL Rahul,69,35,7,1,RR,Sharjah Cricket Stadium,2020-09-27,2020
62,Steve Smith,69,35,4,4,CSK,Sharjah Cricket Stadium,2020-09-22,2020
63,Kane Williamson,67,35,5,4,DC,Zayed Cricket Stadium,2020-11-08,2020
64,Prithvi Shaw,66,35,4,4,KKR,Sharjah Cricket Stadium,2020-10-03,2020
65,Prithvi Shaw,64,35,9,1,CSK,Dubai International Stadium,2020-09-25,2020
66,Rishabh Pant,56,35,4,2,MI,Dubai International Stadium,2020-11-10,2020
67,Tom Curran,54,35,2,3,KKR,Dubai International Stadium,2020-09-30,2020
68,Pat Cummins,53,35,5,2,MI,Zayed Cricket Stadium,2020-10-16,2020
69,Manish Pandey,51,35,3,2,KKR,Zayed Cricket Stadium,2020-09-26,2020
70,KL Rahul,132,36,14,7,RCB,Dubai International Stadium,2020-09-24,2020
71,Rohit Sharma,68,36,5,4,DC,Dubai International Stadium,2020-11-10,2020
72,Marcus Stoinis,65,36,6,3,MI,Dubai International Stadium,2020-11-05,2020
73,Shubman Gill,57,36,3,4,PBKS,Sharjah Cricket Stadium,2020-10-26,2020
74,Kane Williamson,57,36,7,0,CSK,Dubai International Stadium,2020-10-13,2020
75,Devdutt Padikkal,56,36,8,0,SRH,Dubai International Stadium,2020-09-21,2020
76,Chris Gayle,53,36,1,5,RCB,Sharjah Cricket Stadium,2020-10-15,2020
77,Suryakumar Yadav,51,36,6,2,DC,Dubai International Stadium,2020-11-05,2020
78,Ishan Kishan,72,37,8,3,DC,Dubai International Stadium,2020-10-31,2020
79,Ruturaj Gaikwad,72,37,6,2,KKR,Dubai International Stadium,2020-10-29,2020
80,Jos Buttler,70,37,7,2,CSK,Zayed Cricket Stadium,2020-10-19,2020
81,Jonny Bairstow,61,37,6,2,RCB,Dubai International Stadium,2020-09-21,2020
82,KL Rahul,61,37,1,5,RCB,Sharjah Cricket Stadium,2020-10-15,2020
83,Ajinkya Rahane,60,37,5,1,RCB,Zayed Cricket Stadium,2020-11-02,2020
84,Shikhar Dhawan,54,37,6,0,RCB,Zayed Cricket Stadium,2020-11-02,2020
85,Devdutt Padikkal,54,37,5,2,MI,Dubai International Stadium,2020-09-28,2020
86,David Warner,52,37,5,1,PBKS,Dubai International Stadium,2020-10-08,2020
87,Ruturaj Gaikwad,62,38,6,1,PBKS,Zayed Cricket Stadium,2020-11-01,2020
88,Ishan Kishan,99,39,2,9,RCB,Dubai International Stadium,2020-09-28,2020
89,Virat Kohli,90,39,4,4,CSK,Dubai International Stadium,2020-10-10,2020
90,Rohit Sharma,80,39,3,6,KKR,Zayed Cricket Stadium,2020-09-23,2020
91,Shikhar Dhawan,69,39,6,1,MI,Zayed Cricket Stadium,2020-10-11,2020
92,Faf du Plessis,58,39,6,2,DC,Sharjah Cricket Stadium,2020-10-17,2020
93,AB de Villiers,56,39,5,0,SRH,Zayed Cricket Stadium,2020-11-06,2020
94,Quinton de Kock,53,39,3,3,PBKS,Dubai International Stadium,2020-10-18,2020
95,Shane Watson,50,39,6,1,KKR,Zayed Cricket Stadium,2020-10-07,2020
96,Rohit Sharma,70,40,8,3,PBKS,Zayed Cricket Stadium,2020-10-01,2020
97,Shreyas Iyer,65,40,6,2,MI,Dubai International Stadium,2020-11-10,2020
98,Manish Pandey,54,40,2,3,RR,Dubai International Stadium,2020-10-11,2020
99,Shreyas Iyer,53,40,3,2,RR,Dubai International Stadium,2020-10-14,2020
100,Devdutt Padikkal,50,40,5,0,DC,Zayed Cricket Stadium,2020-11-02,2020
101,Virat Kohli,72,41,7,2,RR,Zayed Cricket Stadium,2020-10-03,2020
102,KL Rahul,74,42,6,0,KKR,Zayed Cricket Stadium,2020-10-10,2020
103,Shubman Gill,70,42,5,2,SRH,Zayed Cricket Stadium,2020-09-26,2020
104,Ruturaj Gaikwad,65,42,4,3,RCB,Dubai International Stadium,2020-10-25,2020
105,Faf du Plessis,58,42,6,0,MI,Zayed Cricket Stadium,2020-09-19,2020
106,Shubman Gill,57,42,5,0,PBKS,Zayed Cricket Stadium,2020-10-10,2020
107,Virat Kohli,50,42,1,1,CSK,Dubai International Stadium,2020-10-25,2020
108,Nitish Rana,87,44,10,4,CSK,Dubai International Stadium,2020-10-29,2020
109,Jonny Bairstow,53,44,2,1,DC,Zayed Cricket Stadium,2020-09-29,2020
110,Kane Williamson,50,44,2,2,RCB,Zayed Cricket Stadium,2020-11-06,2020
111,Mayank Agarwal,89,45,7,4,DC,Dubai International Stadium,2020-09-20,2020
112,KL Rahul,63,46,7,1,CSK,Dubai International Stadium,2020-10-04,2020
113,Sam Curran,52,46,4,2,MI,Sharjah Cricket Stadium,2020-10-23,2020
114,Mandeep Singh,66,49,8,2,KKR,Sharjah Cricket Stadium,2020-10-26,2020
115,Vijay Shankar,52,51,6,0,RR,Dubai International Stadium,2020-10-22,2020
1,Ishan Kishan,84,16,11,4,SRH,Zayed Cricket Stadium,2021-10-08,2021
2,Kieron Pollard,87,17,6,8,CSK,Arun Jaitley Stadium,2021-05-01,2021
3,Prithvi Shaw,82,18,11,3,KKR,Narendra Modi Stadium,2021-04-29,2021
4,Yashasvi Jaiswal,50,19,6,3,CSK,Zayed Cricket Stadium,2021-10-02,2021
5,Ambati Rayudu,72,20,4,7,MI,Arun Jaitley Stadium,2021-05-01,2021
6,Deepak Hooda,64,20,4,6,RR,Wankhede Stadium,2021-04-12,2021
7,Andre Russell,54,21,3,6,CSK,Wankhede Stadium,2021-04-21,2021
8,Pat Cummins,66,23,4,6,CSK,Wankhede Stadium,2021-04-21,2021
9,Shimron Hetmyer,53,23,2,4,RCB,Narendra Modi Stadium,2021-04-27,2021
10,Suryakumar Yadav,82,24,13,3,SRH,Zayed Cricket Stadium,2021-10-08,2021
11,KL Rahul,98,25,7,8,CSK,Dubai International Stadium,2021-10-07,2021
12,Mayank Agarwal,69,25,7,4,DC,Wankhede Stadium,2021-04-18,2021
13,Ravindra Jadeja,62,25,4,5,RCB,Wankhede Stadium,2021-04-25,2021
14,Venkatesh Iyer,53,25,4,3,MI,Zayed Cricket Stadium,2021-09-23,2021
15,Ishan Kishan,50,25,5,3,RR,Sharjah Cricket Stadium,2021-10-05,2021
16,Devdutt Padikkal,101,27,11,6,RR,Wankhede Stadium,2021-04-22,2021
17,AB de Villiers,76,27,9,3,KKR,Chidambaram,2021-04-18,2021
18,Prithvi Shaw,72,27,9,3,CSK,Wankhede Stadium,2021-04-10,2021
19,Prithvi Shaw,60,27,7,3,CSK,Dubai International Stadium,2021-10-10,2021
20,Faf du Plessis,50,27,2,4,MI,Arun Jaitley Stadium,2021-05-01,2021
21,Glenn Maxwell,78,28,9,3,KKR,Chidambaram,2021-04-18,2021
22,Rahul Tripathi,53,28,5,2,SRH,Chidambaram,2021-04-11,2021
23,Rahul Tripathi,74,29,8,3,MI,Zayed Cricket Stadium,2021-09-23,2021
24,Glenn Maxwell,57,29,3,4,PBKS,Sharjah Cricket Stadium,2021-10-03,2021
25,KL Rahul,91,30,7,5,RR,Wankhede Stadium,2021-04-12,2021
26,Manish Pandey,69,30,7,2,MI,Zayed Cricket Stadium,2021-10-08,2021
27,Rishabh Pant,51,30,9,0,RR,Wankhede Stadium,2021-04-15,2021
28,Glenn Maxwell,50,30,6,1,RR,Dubai International Stadium,2021-09-29,2021
29,Shikhar Dhawan,92,31,13,2,PBKS,Wankhede Stadium,2021-04-18,2021
30,Shivam Dube,64,31,4,4,CSK,Zayed Cricket Stadium,2021-10-02,2021
31,Evin Lewis,58,31,5,3,RCB,Dubai International Stadium,2021-09-29,2021
32,David Warner,54,31,7,1,RCB,Chidambaram,2021-04-14,2021
33,Venkatesh Iyer,50,31,5,3,CSK,Dubai International Stadium,2021-10-15,2021
34,Faf du Plessis,56,32,6,1,SRH,Arun Jaitley Stadium,2021-04-28,2021
35,Jonny Bairstow,55,32,5,3,KKR,Chidambaram,2021-04-11,2021
36,Suresh Raina,54,32,3,4,DC,Wankhede Stadium,2021-04-10,2021
37,Glenn Maxwell,51,32,8,0,DC,Dubai International Stadium,2021-10-08,2021
38,Sanju Samson,119,33,12,7,PBKS,Wankhede Stadium,2021-04-12,2021
39,Ruturaj Gaikwad,64,33,6,4,KKR,Wankhede Stadium,2021-04-21,2021
40,Moeen Ali,58,33,5,5,MI,Arun Jaitley Stadium,2021-05-01,2021
41,Glenn Maxwell,56,33,6,3,MI,Dubai International Stadium,2021-09-26,2021
42,Suryakumar Yadav,56,33,7,2,KKR,Chidambaram,2021-04-13,2021
43,Virat Kohli,72,34,6,3,RR,Wankhede Stadium,2021-04-22,2021
44,Mayank Agarwal,67,34,7,2,RR,Dubai International Stadium,2021-09-21,2021
45,Faf du Plessis,95,35,9,4,KKR,Wankhede Stadium,2021-04-21,2021
46,KL Rahul,91,35,7,5,RCB,Narendra Modi Stadium,2021-04-30,2021
47,Faf du Plessis,86,35,7,3,KKR,Dubai International Stadium,2021-10-15,2021
48,Shikhar Dhawan,85,35,10,2,CSK,Wankhede Stadium,2021-04-10,2021
49,AB de Villiers,75,35,3,5,DC,Narendra Modi Stadium,2021-04-27,2021
50,Quinton de Kock,70,35,6,2,RR,Arun Jaitley Stadium,2021-04-29,2021
51,Devdutt Padikkal,70,35,5,3,CSK,Sharjah Cricket Stadium,2021-09-24,2021
52,Shikhar Dhawan,69,35,6,2,PBKS,Narendra Modi Stadium,2021-05-02,2021
53,Robin Uthappa,63,35,7,2,DC,Dubai International Stadium,2021-10-10,2021
54,Manish Pandey,61,35,5,1,CSK,Arun Jaitley Stadium,2021-04-28,2021
55,Prithvi Shaw,53,35,7,1,SRH,Chidambaram,2021-04-25,2021
