POS,Player,Ov,Runs,Wkts,Maid,Dots,SR,Against,Venue,Match Date,Year
42,Bhuvneshwar Kumar,3.1,14,1,0,12,19.0,CSK,Wankhede Stadium,2018-05-22,2018
43,Deepak Chahar,3.0,14,1,0,12,18.0,MI,Wankhede Stadium,2018-04-07,2018
44,Rashid Khan,4.0,19,3,0,12,8.0,KKR,Eden Gardens,2018-05-25,2018
45,Mustafizur Rahman,3.4,18,1,0,12,22.0,SRH,Wankhede Stadium,2018-04-24,2018
46,Shreyas Gopal,4.0,20,3,0,12,8.0,CSK,Maharashtra Cricket Association's International Stadium,2018-04-20,2018
47,Trent Boult,4.0,20,2,0,12,12.0,CSK,Arun Jaitley Stadium,2018-05-18,2018
48,Amit Mishra,4.0,20,2,0,12,12.0,CSK,Arun Jaitley Stadium,2018-05-18,2018
49,Yuzvendra Chahal,4.0,22,2,0,12,12.0,RR,M. Chinnaswamy Stadium,2018-04-15,2018
50,Murugan Ashwin,3.0,17,1,0,12,18.0,CSK,Maharashtra Cricket Association's International Stadium,2018-05-05,2018
51,Krishnappa Gowtham,4.0,23,2,0,12,12.0,KKR,Sawai Mansingh Stadium,2018-04-18,2018
52,Umesh Yadav,4.0,23,1,0,12,24.0,CSK,M. Chinnaswamy Stadium,2018-04-25,2018
53,Hardik Pandya,4.0,24,3,0,12,8.0,CSK,Wankhede Stadium,2018-04-07,2018
54,David Willey,4.0,24,1,0,12,24.0,RCB,Maharashtra Cricket Association's International Stadium,2018-05-05,2018
55,Mohammed Siraj,4.0,25,3,0,12,8.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,2018-05-07,2018
56,Umesh Yadav,4.0,25,3,1,12,8.0,RR,Sawai Mansingh Stadium,2018-05-19,2018
57,Mujeeb Ur Rahman,4.0,25,2,0,12,12.0,DC,Arun Jaitley Stadium,2018-04-23,2018
58,Jasprit Bumrah,4.0,25,0,0,12,0.0,CSK,Maharashtra Cricket Association's International Stadium,2018-04-28,2018
59,Dhawal Kulkarni,2.5,18,0,0,12,0.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,2018-04-09,2018
60,Lungi Ngidi,4.0,26,1,0,12,24.0,DC,Maharashtra Cricket Association's International Stadium,2018-04-30,2018
61,Jaydev Unadkat,4.0,26,0,0,12,0.0,PBKS,Holkar Cricket Stadium,2018-05-06,2018
62,Rashid Khan,4.0,27,3,0,12,8.0,RCB,M. Chinnaswamy Stadium,2018-05-17,2018
63,Jasprit Bumrah,4.0,28,2,0,12,12.0,RCB,Wankhede Stadium,2018-04-17,2018
64,Mitchell McClenaghan,4.0,28,0,0,12,0.0,RR,Wankhede Stadium,2018-05-13,2018
