POS,Player,Ov,Runs,Wkts,Maid,Dots,SR,Against,Venue,Match Date,Year
82,Rashid Khan,4.0,23,1,0,12,24.0,KKR,Rajiv Gandhi Intl. Cricket Stadium,2019-04-21,2019
83,Prasidh Krishna,4.0,23,0,0,12,0.0,CSK,Chidambaram,2019-04-09,2019
84,Bhuvneshwar Kumar,4.0,24,2,0,12,12.0,RCB,M. Chinnaswamy Stadium,2019-05-04,2019
85,Mitchell McClenaghan,4.0,24,0,0,12,0.0,CSK,Rajiv Gandhi Intl. Cricket Stadium,2019-05-12,2019
86,Jasprit Bumrah,3.4,23,0,0,12,0.0,PBKS,IS Bindra Stadium,2019-03-30,2019
87,Khaleel Ahmed,4.0,26,0,0,12,0.0,CSK,Chidambaram,2019-04-23,2019
88,Mohammad Shami,4.0,27,2,0,12,12.0,DC,IS Bindra Stadium,2019-04-01,2019
89,Jasprit Bumrah,4.0,27,0,0,12,0.0,CSK,Wankhede Stadium,2019-04-03,2019
90,Rahul Chahar,4.0,27,0,0,12,0.0,PBKS,Wankhede Stadium,2019-04-10,2019
91,Jofra Archer,4.0,28,0,0,12,0.0,KKR,Eden Gardens,2019-04-25,2019
92,Sandeep Lamichhane,4.0,29,1,0,12,24.0,KKR,Arun Jaitley Stadium,2019-03-30,2019
93,Ishant Sharma,4.0,29,1,0,12,24.0,RR,Sawai Mansingh Stadium,2019-04-22,2019
94,Mohammad Shami,4.0,30,1,0,12,24.0,SRH,IS Bindra Stadium,2019-04-08,2019
95,Jasprit Bumrah,4.0,31,2,0,12,12.0,KKR,Wankhede Stadium,2019-05-05,2019
96,Navdeep Saini,4.0,31,1,0,12,24.0,KKR,Eden Gardens,2019-04-19,2019
97,Navdeep Saini,4.0,34,2,0,12,12.0,KKR,M. Chinnaswamy Stadium,2019-04-05,2019
98,Bhuvneshwar Kumar,4.0,34,0,0,12,0.0,PBKS,Rajiv Gandhi Intl. Cricket Stadium,2019-04-29,2019
99,Bhuvneshwar Kumar,4.0,35,2,0,12,12.0,KKR,Rajiv Gandhi Intl. Cricket Stadium,2019-04-21,2019
100,Navdeep Saini,4.0,35,0,0,12,0.0,RR,Sawai Mansingh Stadium,2019-04-02,2019
101,Dhawal Kulkarni,4.0,37,1,0,12,24.0,CSK,Chidambaram,2019-03-31,2019
102,Ishant Sharma,4.0,38,3,0,12,8.0,RR,Arun Jaitley Stadium,2019-05-04,2019
103,Sandeep Lamichhane,4.0,40,3,0,12,8.0,PBKS,Arun Jaitley Stadium,2019-04-20,2019
104,Dale Steyn,4.0,40,2,0,12,12.0,KKR,Eden Gardens,2019-04-19,2019
105,Navdeep Saini,4.0,40,0,0,12,0.0,MI,M. Chinnaswamy Stadium,2019-03-28,2019
106,Bhuvneshwar Kumar,4.0,42,2,0,12,12.0,DC,ACA-VDCA Stadium,2019-05-08,2019
107,Krunal Pandya,4.0,14,0,0,11,0.0,KKR,Wankhede Stadium,2019-05-05,2019
108,Amit Mishra,4.0,17,3,0,11,8.0,RR,Arun Jaitley Stadium,2019-05-04,2019
109,Yuzvendra Chahal,4.0,17,2,0,11,12.0,RR,Sawai Mansingh Stadium,2019-04-02,2019
110,Dhawal Kulkarni,3.0,14,1,1,11,18.0,CSK,Sawai Mansingh Stadium,2019-04-11,2019
111,Dwayne Bravo,4.0,19,2,0,11,12.0,DC,ACA-VDCA Stadium,2019-05-10,2019
112,Jofra Archer,4.0,19,1,1,11,24.0,CSK,Sawai Mansingh Stadium,2019-04-11,2019
113,Trent Boult,4.0,20,1,0,11,24.0,CSK,ACA-VDCA Stadium,2019-05-10,2019
114,Mohammad Shami,4.0,21,1,0,11,24.0,DC,Arun Jaitley Stadium,2019-04-20,2019
115,Rashid Khan,4.0,21,0,0,11,0.0,MI,Wankhede Stadium,2019-05-02,2019
116,Siddarth Kaul,3.0,16,0,0,11,0.0,RCB,Rajiv Gandhi Intl. Cricket Stadium,2019-03-31,2019
117,Rashid Khan,4.0,22,1,0,11,24.0,DC,Rajiv Gandhi Intl. Cricket Stadium,2019-04-14,2019
118,Kagiso Rabada,3.5,22,4,0,11,5.75,SRH,Rajiv Gandhi Intl. Cricket Stadium,2019-04-14,2019
119,Murugan Ashwin,4.0,25,2,0,11,12.0,MI,IS Bindra Stadium,2019-03-30,2019
120,Mitchell Santner,4.0,25,1,0,11,24.0,RR,Sawai Mansingh Stadium,2019-04-11,2019
121,Mohammed Siraj,4.0,25,1,0,11,24.0,RR,Sawai Mansingh Stadium,2019-04-02,2019
122,Bhuvneshwar Kumar,4.0,25,0,0,11,0.0,PBKS,IS Bindra Stadium,2019-04-08,2019
123,Umesh Yadav,4.0,26,2,0,11,12.0,MI,M. Chinnaswamy Stadium,2019-03-28,2019
124,Bhuvneshwar Kumar,4.0,27,2,0,11,12.0,DC,Arun Jaitley Stadium,2019-04-04,2019
125,Jagadeesha Suchith,4.0,28,2,0,11,12.0,CSK,Chidambaram,2019-05-01,2019
126,Jason Behrendorff,4.0,28,1,0,11,24.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,2019-04-06,2019
127,Ishant Sharma,4.0,29,0,0,11,0.0,PBKS,Arun Jaitley Stadium,2019-04-20,2019
128,Sandeep Warrier,4.0,29,0,0,11,0.0,MI,Eden Gardens,2019-04-28,2019
129,Deepak Chahar,4.0,30,1,0,11,24.0,SRH,Chidambaram,2019-04-23,2019
130,Prasidh Krishna,4.0,30,0,0,11,0.0,CSK,Eden Gardens,2019-04-14,2019
131,Mujeeb Ur Rahman,4.0,31,2,0,11,12.0,RR,Sawai Mansingh Stadium,2019-03-25,2019
132,Ishant Sharma,4.0,31,0,0,11,0.0,RCB,M. Chinnaswamy Stadium,2019-04-07,2019
133,Kagiso Rabada,4.0,32,2,0,11,12.0,PBKS,IS Bindra Stadium,2019-04-01,2019
134,Ish Sodhi,3.1,26,3,1,11,6.33,DC,Arun Jaitley Stadium,2019-05-04,2019
135,Deepak Chahar,4.0,33,2,0,11,12.0,RR,Sawai Mansingh Stadium,2019-04-11,2019
136,Lasith Malinga,4.0,35,3,0,11,8.0,KKR,Wankhede Stadium,2019-05-05,2019
137,Umesh Yadav,4.0,36,3,0,11,8.0,PBKS,M. Chinnaswamy Stadium,2019-04-24,2019
138,Hardus Viljoen,4.0,36,1,0,11,24.0,KKR,Eden Gardens,2019-03-27,2019
139,Yuzvendra Chahal,4.0,36,0,0,11,0.0,DC,M. Chinnaswamy Stadium,2019-04-07,2019
140,Dhawal Kulkarni,4.0,37,1,0,11,24.0,PBKS,IS Bindra Stadium,2019-04-16,2019
141,Trent Boult,4.0,37,0,0,11,0.0,CSK,Chidambaram,2019-05-01,2019
142,Mohammed Siraj,4.0,38,2,0,11,12.0,MI,M. Chinnaswamy Stadium,2019-03-28,2019
143,Umesh Yadav,4.0,47,2,0,11,12.0,CSK,M. Chinnaswamy Stadium,2019-04-21,2019
144,Ravichandran Ashwin,4.0,15,1,0,10,24.0,RCB,M. Chinnaswamy Stadium,2019-04-24,2019
145,Amit Mishra,4.0,16,1,0,10,24.0,SRH,ACA-VDCA Stadium,2019-05-08,2019
146,Keemo Paul,4.0,17,3,0,10,8.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,2019-04-14,2019
147,Harbhajan Singh,4.0,17,2,1,10,12.0,PBKS,Chidambaram,2019-04-06,2019
148,Axar Patel,4.0,18,1,0,10,24.0,SRH,Arun Jaitley Stadium,2019-04-04,2019
149,Moeen Ali,4.0,19,1,0,10,24.0,PBKS,IS Bindra Stadium,2019-04-13,2019
150,Krishnappa Gowtham,4.0,19,0,0,10,0.0,RCB,Sawai Mansingh Stadium,2019-04-02,2019
1,Rashid Khan,4.0,7,3,0,17,8.0,DC,Dubai International Stadium,2020-10-27,2020
2,Jasprit Bumrah,4.0,14,4,1,17,6.0,DC,Dubai International Stadium,2020-11-05,2020
3,Trent Boult,4.0,18,4,1,17,6.0,CSK,Sharjah Cricket Stadium,2020-10-23,2020
4,Deepak Chahar,4.0,18,2,1,17,12.0,RR,Zayed Cricket Stadium,2020-10-19,2020
5,Mohammed Siraj,4.0,8,3,2,16,8.0,KKR,Zayed Cricket Stadium,2020-10-21,2020
6,T Natarajan,4.0,11,1,0,16,24.0,RCB,Sharjah Cricket Stadium,2020-10-31,2020
7,Rashid Khan,4.0,12,0,0,16,0.0,CSK,Dubai International Stadium,2020-10-02,2020
8,Pat Cummins,4.0,17,3,0,16,8.0,DC,Zayed Cricket Stadium,2020-10-24,2020
9,Navdeep Saini,4.0,18,0,0,16,0.0,CSK,Dubai International Stadium,2020-10-10,2020
10,Trent Boult,4.0,21,3,0,16,8.0,DC,Dubai International Stadium,2020-10-31,2020
11,Jofra Archer,4.0,21,2,0,16,12.0,SRH,Dubai International Stadium,2020-10-22,2020
12,Jasprit Bumrah,4.0,14,3,1,15,8.0,RCB,Zayed Cricket Stadium,2020-10-28,2020
13,Rashid Khan,4.0,14,2,0,15,12.0,PBKS,Dubai International Stadium,2020-10-24,2020
14,Mohammad Shami,4.0,15,3,0,15,8.0,DC,Dubai International Stadium,2020-09-20,2020
15,Chris Morris,4.0,16,0,1,15,0.0,KKR,Zayed Cricket Stadium,2020-10-21,2020
16,Jasprit Bumrah,4.0,17,3,0,15,8.0,DC,Dubai International Stadium,2020-10-31,2020
17,Jofra Archer,4.0,18,1,0,15,24.0,RCB,Zayed Cricket Stadium,2020-10-03,2020
18,Jofra Archer,4.0,19,1,0,15,24.0,KKR,Dubai International Stadium,2020-11-01,2020
19,Arshdeep Singh,4.0,25,1,1,15,24.0,KKR,Zayed Cricket Stadium,2020-10-10,2020
20,Adam Zampa,4.0,12,1,0,14,24.0,SRH,Zayed Cricket Stadium,2020-11-06,2020
21,Ravi Bishnoi,4.0,13,1,0,14,24.0,SRH,Dubai International Stadium,2020-10-24,2020
22,Washington Sundar,4.0,14,1,1,14,24.0,KKR,Zayed Cricket Stadium,2020-10-21,2020
23,Shivam Mavi,4.0,15,2,1,14,12.0,RR,Dubai International Stadium,2020-11-01,2020
24,Lockie Ferguson,4.0,17,1,0,14,24.0,RCB,Zayed Cricket Stadium,2020-10-21,2020
25,Jofra Archer,4.0,18,2,0,14,12.0,KKR,Dubai International Stadium,2020-09-30,2020
26,Chris Morris,4.0,19,3,0,14,8.0,CSK,Dubai International Stadium,2020-10-10,2020
27,Jofra Archer,4.0,19,3,0,14,8.0,DC,Dubai International Stadium,2020-10-14,2020
28,Josh Hazlewood,4.0,19,1,0,14,24.0,RR,Zayed Cricket Stadium,2020-10-19,2020
29,Jasprit Bumrah,4.0,20,4,0,14,6.0,RR,Zayed Cricket Stadium,2020-10-06,2020
30,Sheldon Cottrell,4.0,20,1,1,14,24.0,MI,Zayed Cricket Stadium,2020-10-01,2020
31,Navdeep Saini,4.0,21,0,0,14,0.0,PBKS,Sharjah Cricket Stadium,2020-10-15,2020
32,Nathan Coulter-Nile,4.0,25,1,0,14,24.0,CSK,Sharjah Cricket Stadium,2020-10-23,2020
33,Jofra Archer,4.0,25,1,0,14,24.0,SRH,Dubai International Stadium,2020-10-11,2020
34,Mohammed Siraj,4.0,28,2,0,14,12.0,SRH,Zayed Cricket Stadium,2020-11-06,2020
35,Jasprit Bumrah,4.0,32,2,0,14,12.0,KKR,Zayed Cricket Stadium,2020-09-23,2020
36,Sandeep Sharma,4.0,34,3,0,14,8.0,MI,Sharjah Cricket Stadium,2020-11-03,2020
37,Rashid Khan,4.0,12,3,1,13,8.0,PBKS,Dubai International Stadium,2020-10-08,2020
38,Washington Sundar,4.0,12,1,0,13,24.0,MI,Dubai International Stadium,2020-09-28,2020
39,Yuzvendra Chahal,4.0,12,1,0,13,24.0,KKR,Sharjah Cricket Stadium,2020-10-12,2020
40,Rashid Khan,4.0,14,3,0,13,8.0,DC,Zayed Cricket Stadium,2020-09-29,2020
41,Lockie Ferguson,4.0,15,3,0,13,8.0,SRH,Zayed Cricket Stadium,2020-10-18,2020
42,Yuzvendra Chahal,4.0,15,2,0,13,12.0,KKR,Zayed Cricket Stadium,2020-10-21,2020
43,Rahul Chahar,4.0,18,2,0,13,12.0,KKR,Zayed Cricket Stadium,2020-10-16,2020
44,Jasprit Bumrah,4.0,18,2,0,13,12.0,PBKS,Zayed Cricket Stadium,2020-10-01,2020
45,Sandeep Sharma,4.0,19,2,0,13,12.0,CSK,Dubai International Stadium,2020-10-13,2020
46,Varun Chakaravarthy,4.0,20,2,0,13,12.0,CSK,Dubai International Stadium,2020-10-29,2020
47,Shivam Mavi,4.0,20,2,0,13,12.0,RR,Dubai International Stadium,2020-09-30,2020
48,Vijay Shankar,4.0,20,1,0,13,24.0,KKR,Zayed Cricket Stadium,2020-10-18,2020
49,Rahul Chahar,4.0,22,2,0,13,12.0,CSK,Sharjah Cricket Stadium,2020-10-23,2020
50,Anrich Nortje,4.0,22,2,0,13,12.0,RCB,Dubai International Stadium,2020-10-05,2020
51,Sheldon Cottrell,4.0,24,2,0,13,12.0,DC,Dubai International Stadium,2020-09-20,2020
52,Rashid Khan,4.0,24,1,0,13,24.0,RCB,Sharjah Cricket Stadium,2020-10-31,2020
53,James Pattinson,4.0,25,2,0,13,12.0,KKR,Zayed Cricket Stadium,2020-09-23,2020
54,Bhuvneshwar Kumar,4.0,25,2,0,13,12.0,DC,Zayed Cricket Stadium,2020-09-29,2020
55,Jasprit Bumrah,4.0,25,2,0,13,12.0,CSK,Sharjah Cricket Stadium,2020-10-23,2020
56,Anrich Nortje,4.0,25,1,0,13,24.0,RR,Sharjah Cricket Stadium,2020-10-09,2020
57,Jofra Archer,4.0,26,2,0,13,12.0,PBKS,Zayed Cricket Stadium,2020-10-30,2020
58,Jofra Archer,4.0,26,1,0,13,24.0,CSK,Sharjah Cricket Stadium,2020-09-22,2020
59,Murugan Ashwin,4.0,27,1,0,13,24.0,KKR,Sharjah Cricket Stadium,2020-10-26,2020
60,Kagiso Rabada,4.0,28,2,0,13,12.0,MI,Zayed Cricket Stadium,2020-10-11,2020
61,Shardul Thakur,4.0,28,2,0,13,12.0,KKR,Zayed Cricket Stadium,2020-10-07,2020
62,Pat Cummins,4.0,28,1,0,13,24.0,SRH,Zayed Cricket Stadium,2020-10-18,2020
63,Trent Boult,4.0,30,2,1,13,12.0,KKR,Zayed Cricket Stadium,2020-09-23,2020
64,Pat Cummins,4.0,31,0,0,13,0.0,PBKS,Sharjah Cricket Stadium,2020-10-26,2020
65,Pat Cummins,4.0,34,4,0,13,6.0,RR,Dubai International Stadium,2020-11-01,2020
66,Mohammad Shami,4.0,35,3,0,13,8.0,KKR,Sharjah Cricket Stadium,2020-10-26,2020
67,Shreyas Gopal,4.0,14,1,0,12,24.0,CSK,Zayed Cricket Stadium,2020-10-19,2020
68,Chris Jordan,4.0,17,3,0,12,8.0,SRH,Dubai International Stadium,2020-10-24,2020
69,Pat Cummins,3.0,13,1,0,12,18.0,RR,Dubai International Stadium,2020-09-30,2020
70,Anrich Nortje,4.0,21,2,0,12,12.0,CSK,Dubai International Stadium,2020-09-25,2020
71,Jasprit Bumrah,4.0,22,1,0,12,24.0,KKR,Zayed Cricket Stadium,2020-10-16,2020
72,Chris Morris,4.0,22,0,0,12,0.0,PBKS,Sharjah Cricket Stadium,2020-10-15,2020
73,Sheldon Cottrell,3.0,17,2,0,12,9.0,RCB,Dubai International Stadium,2020-09-24,2020
74,Jasprit Bumrah,4.0,24,3,0,12,8.0,PBKS,Dubai International Stadium,2020-10-18,2020
75,Kamlesh Nagarkoti,4.0,24,1,0,12,24.0,RR,Dubai International Stadium,2020-11-01,2020
76,Chris Morris,4.0,26,4,0,12,6.0,RR,Dubai International Stadium,2020-10-17,2020
77,Trent Boult,4.0,26,2,0,12,12.0,RR,Zayed Cricket Stadium,2020-10-06,2020
78,Murugan Ashwin,4.0,27,1,0,12,24.0,SRH,Dubai International Stadium,2020-10-24,2020
79,Nathan Coulter-Nile,4.0,27,0,0,12,0.0,SRH,Sharjah Cricket Stadium,2020-11-03,2020
80,Trent Boult,3.2,23,1,0,12,20.0,CSK,Zayed Cricket Stadium,2020-09-19,2020
81,Mohammad Shami,4.0,28,2,0,12,12.0,DC,Dubai International Stadium,2020-10-20,2020
82,Kagiso Rabada,4.0,29,4,0,12,6.0,SRH,Zayed Cricket Stadium,2020-11-08,2020
83,Prasidh Krishna,4.0,29,3,0,12,8.0,PBKS,Zayed Cricket Stadium,2020-10-10,2020
84,Mohammad Shami,4.0,29,0,0,12,0.0,CSK,Zayed Cricket Stadium,2020-11-01,2020
85,Trent Boult,4.0,30,3,0,12,8.0,DC,Dubai International Stadium,2020-11-10,2020
86,Mohammad Shami,4.0,30,2,0,12,12.0,MI,Dubai International Stadium,2020-10-18,2020
87,Ravi Bishnoi,4.0,32,3,0,12,8.0,RCB,Dubai International Stadium,2020-09-24,2020
88,Kagiso Rabada,4.0,33,1,1,12,24.0,CSK,Sharjah Cricket Stadium,2020-10-17,2020
89,Ravi Bishnoi,4.0,34,0,0,12,0.0,RR,Sharjah Cricket Stadium,2020-09-27,2020
90,Varun Aaron,4.0,47,0,0,12,0.0,PBKS,Zayed Cricket Stadium,2020-10-30,2020
91,Axar Patel,4.0,14,1,0,11,24.0,PBKS,Dubai International Stadium,2020-09-20,2020
92,Axar Patel,4.0,16,0,0,11,0.0,MI,Dubai International Stadium,2020-11-10,2020
93,Yuzvendra Chahal,4.0,18,3,0,11,8.0,SRH,Dubai International Stadium,2020-09-21,2020
94,Rahul Tewatia,4.0,18,1,0,11,24.0,CSK,Zayed Cricket Stadium,2020-10-19,2020
95,Ravichandran Ashwin,4.0,18,0,0,11,0.0,MI,Dubai International Stadium,2020-10-31,2020
96,Shahbaz Nadeem,4.0,19,2,0,11,12.0,MI,Sharjah Cricket Stadium,2020-11-03,2020
97,Pat Cummins,4.0,19,1,0,11,24.0,SRH,Zayed Cricket Stadium,2020-09-26,2020
98,Ravi Bishnoi,4.0,20,2,1,11,12.0,KKR,Sharjah Cricket Stadium,2020-10-26,2020
99,Rahul Tewatia,4.0,20,1,0,11,24.0,DC,Sharjah Cricket Stadium,2020-10-09,2020
100,Jofra Archer,4.0,20,1,0,11,24.0,CSK,Zayed Cricket Stadium,2020-10-19,2020
101,Kagiso Rabada,4.0,21,2,0,11,12.0,SRH,Zayed Cricket Stadium,2020-09-29,2020
102,Piyush Chawla,4.0,21,1,0,11,24.0,MI,Zayed Cricket Stadium,2020-09-19,2020
103,Krunal Pandya,4.0,22,1,0,11,24.0,DC,Dubai International Stadium,2020-11-05,2020
104,Rashid Khan,4.0,22,1,0,11,24.0,MI,Sharjah Cricket Stadium,2020-10-04,2020
105,Rashid Khan,4.0,22,0,0,11,0.0,RCB,Zayed Cricket Stadium,2020-11-06,2020
106,Krunal Pandya,4.0,23,0,0,11,0.0,KKR,Zayed Cricket Stadium,2020-10-16,2020
107,Jofra Archer,4.0,24,3,0,11,8.0,DC,Sharjah Cricket Stadium,2020-10-09,2020
108,Sam Curran,3.0,18,1,0,11,18.0,SRH,Dubai International Stadium,2020-10-13,2020
109,Rahul Tewatia,4.0,25,3,0,11,8.0,KKR,Dubai International Stadium,2020-11-01,2020
110,Chris Jordan,4.0,25,2,0,11,12.0,KKR,Sharjah Cricket Stadium,2020-10-26,2020
111,Pat Cummins,4.0,25,0,0,11,0.0,CSK,Zayed Cricket Stadium,2020-10-07,2020
112,Bhuvneshwar Kumar,4.0,25,0,0,11,0.0,RCB,Dubai International Stadium,2020-09-21,2020
113,T Natarajan,3.5,24,2,0,11,11.5,PBKS,Dubai International Stadium,2020-10-08,2020
114,Kagiso Rabada,4.0,26,3,0,11,8.0,CSK,Dubai International Stadium,2020-09-25,2020
115,T Natarajan,4.0,26,2,0,11,12.0,DC,Dubai International Stadium,2020-10-27,2020
116,Rahul Chahar,4.0,26,2,0,11,12.0,KKR,Zayed Cricket Stadium,2020-09-23,2020
117,Sandeep Sharma,4.0,27,2,0,11,12.0,DC,Dubai International Stadium,2020-10-27,2020
118,Trent Boult,4.0,28,2,0,11,12.0,SRH,Sharjah Cricket Stadium,2020-10-04,2020
119,Shreyas Gopal,4.0,28,2,0,11,12.0,MI,Zayed Cricket Stadium,2020-10-06,2020
120,Anrich Nortje,4.0,28,0,0,11,0.0,MI,Zayed Cricket Stadium,2020-10-11,2020
121,Varun Chakaravarthy,4.0,28,0,0,11,0.0,RCB,Zayed Cricket Stadium,2020-10-21,2020
122,Ravichandran Ashwin,4.0,29,3,0,11,8.0,MI,Dubai International Stadium,2020-11-05,2020
123,Andre Russell,4.0,29,2,0,11,12.0,DC,Sharjah Cricket Stadium,2020-10-03,2020
124,T Natarajan,4.0,29,0,0,11,0.0,MI,Sharjah Cricket Stadium,2020-10-04,2020
125,Mohammad Shami,4.0,30,1,0,11,24.0,KKR,Zayed Cricket Stadium,2020-10-10,2020
126,Navdeep Saini,3.0,23,1,0,11,18.0,KKR,Zayed Cricket Stadium,2020-10-21,2020
127,Jofra Archer,4.0,31,2,0,11,12.0,MI,Zayed Cricket Stadium,2020-10-25,2020
128,Deepak Chahar,4.0,31,2,0,11,12.0,SRH,Dubai International Stadium,2020-10-02,2020
129,Anrich Nortje,4.0,33,3,0,11,8.0,RCB,Zayed Cricket Stadium,2020-11-02,2020
130,Jason Holder,4.0,33,3,0,11,8.0,RR,Dubai International Stadium,2020-10-22,2020
131,Anrich Nortje,4.0,33,3,0,11,8.0,KKR,Sharjah Cricket Stadium,2020-10-03,2020
132,Anrich Nortje,4.0,33,0,0,11,0.0,PBKS,Dubai International Stadium,2020-09-20,2020
133,Mohammed Siraj,4.0,34,2,0,11,12.0,DC,Dubai International Stadium,2020-10-05,2020
134,Mohammad Shami,4.0,34,1,0,11,24.0,SRH,Dubai International Stadium,2020-10-24,2020
135,Jofra Archer,4.0,34,1,0,11,24.0,MI,Zayed Cricket Stadium,2020-10-06,2020
136,Deepak Chahar,4.0,34,0,0,11,0.0,MI,Sharjah Cricket Stadium,2020-10-23,2020
137,Kartik Tyagi,4.0,35,1,0,11,24.0,CSK,Zayed Cricket Stadium,2020-10-19,2020
138,Anrich Nortje,4.0,37,1,0,11,24.0,SRH,Dubai International Stadium,2020-10-27,2020
139,Pat Cummins,4.0,38,0,0,11,0.0,RCB,Sharjah Cricket Stadium,2020-10-12,2020
140,Lungi Ngidi,4.0,39,3,0,11,8.0,PBKS,Zayed Cricket Stadium,2020-11-01,2020
141,Deepak Chahar,3.0,10,1,0,10,18.0,RCB,Dubai International Stadium,2020-10-10,2020
142,Chris Morris,4.0,17,2,0,10,12.0,KKR,Sharjah Cricket Stadium,2020-10-12,2020
143,Ravichandran Ashwin,4.0,17,1,0,10,24.0,RR,Dubai International Stadium,2020-10-14,2020
144,Axar Patel,4.0,18,2,0,10,12.0,RCB,Dubai International Stadium,2020-10-05,2020
145,Deepak Chahar,4.0,18,2,1,10,12.0,DC,Sharjah Cricket Stadium,2020-10-17,2020
146,Ravichandran Ashwin,4.0,18,1,0,10,24.0,RCB,Zayed Cricket Stadium,2020-11-02,2020
147,Axar Patel,4.0,18,1,0,10,24.0,CSK,Dubai International Stadium,2020-09-25,2020
148,Mohammad Shami,3.0,14,1,0,10,18.0,RCB,Dubai International Stadium,2020-09-24,2020
149,Washington Sundar,4.0,20,0,0,10,0.0,MI,Zayed Cricket Stadium,2020-10-28,2020
150,Varun Chakaravarthy,4.0,23,1,0,10,24.0,MI,Zayed Cricket Stadium,2020-10-16,2020
1,Deepak Chahar,4.0,13,4,1,18,6.0,PBKS,Wankhede Stadium,2021-04-16,2021
2,Jasprit Bumrah,4.0,14,2,0,18,12.0,RR,Sharjah Cricket Stadium,2021-10-05,2021
3,Chris Morris,4.0,23,4,0,18,6.0,KKR,Wankhede Stadium,2021-04-24,2021
4,Shardul Thakur,4.0,11,1,0,17,24.0,RCB,Wankhede Stadium,2021-04-25,2021
5,Mohammad Shami,4.0,14,2,1,17,12.0,SRH,Sharjah Cricket Stadium,2021-09-25,2021
6,Lockie Ferguson,4.0,18,3,0,17,8.0,RR,Sharjah Cricket Stadium,2021-10-07,2021
7,Shivam Mavi,4.0,19,1,0,17,24.0,RR,Wankhede Stadium,2021-04-24,2021
8,Mohammad Shami,4.0,25,1,0,17,24.0,KKR,Narendra Modi Stadium,2021-04-26,2021
9,Yuzvendra Chahal,4.0,11,3,1,16,8.0,MI,Dubai International Stadium,2021-09-26,2021
10,Nathan Coulter-Nile,4.0,14,4,0,16,6.0,RR,Sharjah Cricket Stadium,2021-10-05,2021
11,Varun Chakaravarthy,4.0,14,1,0,16,24.0,RR,Sharjah Cricket Stadium,2021-10-07,2021
12,Avesh Khan,4.0,15,3,0,16,8.0,MI,Sharjah Cricket Stadium,2021-10-02,2021
13,Trent Boult,4.0,17,1,0,16,24.0,RCB,Dubai International Stadium,2021-09-26,2021
14,Jayant Yadav,4.0,20,0,0,16,0.0,PBKS,Chidambaram,2021-04-23,2021
15,Mohammed Siraj,4.0,27,3,0,16,8.0,RR,Wankhede Stadium,2021-04-22,2021
16,Ravindra Jadeja,4.0,13,3,1,15,8.0,RCB,Wankhede Stadium,2021-04-25,2021
17,Varun Chakaravarthy,4.0,13,3,0,15,8.0,RCB,Zayed Cricket Stadium,2021-09-20,2021
18,Shivam Mavi,4.0,13,1,0,15,24.0,PBKS,Narendra Modi Stadium,2021-04-26,2021
19,Jaydev Unadkat,4.0,15,3,0,15,8.0,DC,Wankhede Stadium,2021-04-15,2021
20,Harpreet Brar,4.0,19,3,1,15,8.0,RCB,Narendra Modi Stadium,2021-04-30,2021
21,Anrich Nortje,4.0,19,1,1,15,24.0,MI,Sharjah Cricket Stadium,2021-10-02,2021
22,Pat Cummins,4.0,24,3,0,15,8.0,DC,Narendra Modi Stadium,2021-04-29,2021
23,Lungi Ngidi,4.0,28,3,0,15,8.0,KKR,Wankhede Stadium,2021-04-21,2021
24,Anrich Nortje,4.0,12,2,0,14,12.0,SRH,Dubai International Stadium,2021-09-22,2021
25,Imran Tahir,4.0,16,2,0,14,12.0,RCB,Wankhede Stadium,2021-04-25,2021
26,Ravindra Jadeja,4.0,19,0,0,14,0.0,PBKS,Wankhede Stadium,2021-04-16,2021
27,Ravichandran Ashwin,4.0,20,1,0,14,24.0,RR,Zayed Cricket Stadium,2021-09-25,2021
28,Bhuvneshwar Kumar,4.0,20,0,0,14,0.0,KKR,Dubai International Stadium,2021-10-03,2021
29,Adam Milne,4.0,21,2,0,14,12.0,CSK,Dubai International Stadium,2021-09-19,2021
30,Mohammad Shami,4.0,22,1,0,14,24.0,CSK,Dubai International Stadium,2021-10-07,2021
31,Riley Meredith,3.4,21,0,0,14,0.0,CSK,Wankhede Stadium,2021-04-16,2021
32,Sam Curran,4.0,24,2,0,14,12.0,RR,Wankhede Stadium,2021-04-19,2021
33,Prasidh Krishna,4.0,24,1,0,14,24.0,RCB,Zayed Cricket Stadium,2021-09-20,2021
34,Mohammed Siraj,4.0,25,2,1,14,12.0,SRH,Chidambaram,2021-04-14,2021
35,Harpreet Brar,4.0,26,0,0,14,0.0,RCB,Sharjah Cricket Stadium,2021-10-03,2021
36,Deepak Chahar,4.0,29,4,0,14,6.0,KKR,Wankhede Stadium,2021-04-21,2021
37,Jimmy Neesham,4.0,12,3,0,13,8.0,RR,Sharjah Cricket Stadium,2021-10-05,2021
38,Moises Henriques,4.0,12,3,0,13,8.0,RCB,Sharjah Cricket Stadium,2021-10-03,2021
39,Krunal Pandya,4.0,13,1,0,13,24.0,KKR,Chidambaram,2021-04-13,2021
40,Rahul Chahar,4.0,19,3,0,13,8.0,SRH,Chidambaram,2021-04-17,2021
41,Deepak Chahar,4.0,19,2,0,13,12.0,MI,Dubai International Stadium,2021-09-19,2021
42,Nathan Ellis,4.0,20,1,0,13,24.0,MI,Zayed Cricket Stadium,2021-09-28,2021
