POS,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date,Year
1,Brendon McCullum,158,73,216.43,10,13,RCB,M. Chinnaswamy Stadium,2008-04-18,2008
2,Sanath Jayasuriya,114,48,237.5,9,11,CSK,Wankhede Stadium,2008-05-14,2008
3,Adam Gilchrist,109,47,231.91,9,10,MI,DY Patil Stadium,2008-04-27,2008
4,Michael Hussey,116,54,214.81,8,9,PBKS,IS Bindra Stadium,2008-04-19,2008
5,Andrew Symonds,117,53,220.75,11,7,RR,Rajiv Gandhi Intl. Cricket Stadium,2008-04-24,2008
6,Shaun Marsh,115,69,166.66,11,7,RR,IS Bindra Stadium,2008-05-28,2008
7,Yuvraj Singh,49,16,306.25,2,6,RR,IS Bindra Stadium,2008-05-28,2008
8,Virender Sehwag,94,41,229.26,10,6,DEC,Rajiv Gandhi Intl. Cricket Stadium,2008-04-22,2008
9,Yusuf Pathan,61,28,217.85,4,6,DEC,Rajiv Gandhi Intl. Cricket Stadium,2008-04-24,2008
10,Rahul Dravid,75,36,208.33,6,6,RR,Sawai Mansingh Stadium,2008-05-17,2008
11,Venugopal Rao,71,42,169.04,4,6,KKR,Rajiv Gandhi Intl. Cricket Stadium,2008-05-11,2008
12,Sourav Ganguly,86,53,162.26,6,6,PBKS,Eden Gardens,2008-05-25,2008
13,Virender Sehwag,51,26,196.15,2,5,PBKS,Arun Jaitley Stadium,2008-05-17,2008
14,Shane Watson,74,40,185.0,5,5,DC,Sawai Mansingh Stadium,2008-05-11,2008
15,Sanath Jayasuriya,70,42,166.66,7,5,DC,Arun Jaitley Stadium,2008-05-24,2008
16,Sourav Ganguly,91,57,159.64,11,5,DEC,Rajiv Gandhi Intl. Cricket Stadium,2008-05-11,2008
17,Shane Watson,76,49,155.1,5,5,PBKS,Sawai Mansingh Stadium,2008-04-21,2008
18,MF Maharoof,39,16,243.75,2,4,RR,Sawai Mansingh Stadium,2008-05-11,2008
19,Yusuf Pathan,45,21,214.28,3,4,DC,Wankhede Stadium,2008-05-30,2008
20,Misbah-ul-Haq,47,25,188.0,2,4,DC,M. Chinnaswamy Stadium,2008-05-19,2008
21,Rohit Sharma,50,27,185.18,3,4,PBKS,IS Bindra Stadium,2008-05-23,2008
22,Wriddhiman Saha,59,32,184.37,2,4,PBKS,IS Bindra Stadium,2008-05-03,2008
23,Rohit Sharma,66,36,183.33,6,4,DC,Rajiv Gandhi Intl. Cricket Stadium,2008-04-22,2008
24,Graeme Smith,91,51,178.43,9,4,CSK,Chidambaram,2008-05-24,2008
25,Albie Morkel,71,40,177.5,6,4,RR,Chidambaram,2008-05-24,2008
26,Virender Sehwag,71,41,173.17,7,4,CSK,Chidambaram,2008-05-02,2008
27,Suresh Raina,55,34,161.76,4,4,PBKS,Wankhede Stadium,2008-05-31,2008
28,David Hussey,71,46,154.34,4,4,PBKS,IS Bindra Stadium,2008-05-03,2008
29,Shaun Marsh,58,38,152.63,3,4,CSK,Chidambaram,2008-05-10,2008
30,Sanath Jayasuriya,54,37,145.94,4,4,RCB,M. Chinnaswamy Stadium,2008-05-28,2008
31,Shaun Marsh,81,56,144.64,7,4,MI,Wankhede Stadium,2008-05-21,2008
32,Yusuf Pathan,56,39,143.58,3,4,CSK,DY Patil Stadium,2008-06-01,2008
33,MS Dhoni,60,43,139.53,2,4,PBKS,Chidambaram,2008-05-10,2008
34,Balachandra Akhil,27,7,385.71,2,3,DEC,Rajiv Gandhi Intl. Cricket Stadium,2008-05-25,2008
35,Kamran Akmal,24,8,300.0,1,3,PBKS,IS Bindra Stadium,2008-05-28,2008
36,Yuvraj Singh,23,8,287.5,1,3,DC,Arun Jaitley Stadium,2008-05-17,2008
37,Sanath Jayasuriya,48,17,282.35,6,3,KKR,Wankhede Stadium,2008-05-16,2008
38,Yusuf Pathan,48,18,266.66,5,3,KKR,Eden Gardens,2008-05-20,2008
39,Yusuf Pathan,39,15,260.0,3,3,PBKS,IS Bindra Stadium,2008-05-28,2008
40,Suresh Raina,32,13,246.15,2,3,PBKS,IS Bindra Stadium,2008-04-19,2008
41,Irfan Pathan,40,18,222.22,3,3,CSK,Chidambaram,2008-05-10,2008
42,Shaun Pollock,33,15,220.0,2,3,DC,DY Patil Stadium,2008-05-04,2008
43,Ross Taylor,44,20,220.0,6,3,RR,M. Chinnaswamy Stadium,2008-04-26,2008
44,Umar Gul,24,11,218.18,1,3,PBKS,Eden Gardens,2008-05-25,2008
45,MS Dhoni,65,30,216.66,9,3,RCB,M. Chinnaswamy Stadium,2008-04-28,2008
46,David Hussey,26,12,216.66,1,3,RCB,Eden Gardens,2008-05-08,2008
47,James Hopes,71,33,215.15,10,3,CSK,IS Bindra Stadium,2008-04-19,2008
48,Mohammad Kaif,34,16,212.5,2,3,DEC,Rajiv Gandhi Intl. Cricket Stadium,2008-04-24,2008
49,Luke Pomersbach,25,12,208.33,0,3,DC,Arun Jaitley Stadium,2008-05-17,2008
50,Harbhajan Singh,28,14,200.0,1,3,CSK,Chidambaram,2008-04-23,2008
51,Albie Morkel,30,15,200.0,2,3,DC,Arun Jaitley Stadium,2008-05-08,2008
52,Virender Sehwag,40,20,200.0,3,3,MI,DY Patil Stadium,2008-05-04,2008
53,David Hussey,57,29,196.55,4,3,DEC,Rajiv Gandhi Intl. Cricket Stadium,2008-05-11,2008
54,Kamran Akmal,53,28,189.28,4,3,CSK,Chidambaram,2008-05-24,2008
55,Shane Watson,52,29,179.31,4,3,DC,Wankhede Stadium,2008-05-30,2008
56,Abhishek Nayar,34,19,178.94,1,3,DEC,DY Patil Stadium,2008-04-27,2008
57,Dinesh Karthik,56,32,175.0,4,3,MI,Arun Jaitley Stadium,2008-05-24,2008
58,Yuvraj Singh,57,34,167.64,6,3,RR,Sawai Mansingh Stadium,2008-04-21,2008
59,Gautam Gambhir,79,48,164.58,7,3,DEC,Arun Jaitley Stadium,2008-05-15,2008
60,Luke Pomersbach,79,50,158.0,10,3,MI,Wankhede Stadium,2008-05-21,2008
61,Ross Taylor,53,34,155.88,3,3,CSK,M. Chinnaswamy Stadium,2008-04-28,2008
62,Shikhar Dhawan,50,33,151.51,4,3,RCB,Arun Jaitley Stadium,2008-04-30,2008
63,Venugopal Rao,57,38,150.0,4,3,MI,Rajiv Gandhi Intl. Cricket Stadium,2008-05-18,2008
64,Suresh Raina,53,37,143.24,3,3,MI,Chidambaram,2008-04-23,2008
65,Matthew Hayden,70,49,142.85,6,3,KKR,Chidambaram,2008-04-26,2008
66,James Hopes,27,19,142.1,0,3,RCB,IS Bindra Stadium,2008-05-12,2008
67,Dwaraka Ravi Teja,37,27,137.03,2,3,MI,Rajiv Gandhi Intl. Cricket Stadium,2008-05-18,2008
68,Subramaniam Badrinath,64,47,136.17,6,3,PBKS,Chidambaram,2008-05-10,2008
69,Rohit Sharma,57,42,135.71,5,3,RCB,M. Chinnaswamy Stadium,2008-05-03,2008
70,Shaun Marsh,60,46,130.43,3,3,DEC,IS Bindra Stadium,2008-05-23,2008
71,Herschelle Gibbs,44,34,129.41,3,3,PBKS,IS Bindra Stadium,2008-05-23,2008
72,Praveen Kumar,34,30,113.33,2,3,RR,M. Chinnaswamy Stadium,2008-04-26,2008
73,David Hussey,38,43,88.37,1,3,DEC,Eden Gardens,2008-04-20,2008
74,Shahid Afridi,20,6,333.33,2,2,CSK,Chidambaram,2008-05-06,2008
75,Manpreet Gony,15,6,250.0,0,2,DEC,Chidambaram,2008-05-06,2008
76,Shane Warne,22,9,244.44,2,2,DEC,Rajiv Gandhi Intl. Cricket Stadium,2008-04-24,2008
77,Sanjay Bangar,17,7,242.85,0,2,RCB,M. Chinnaswamy Stadium,2008-05-03,2008
78,Sanath Jayasuriya,36,15,240.0,6,2,DEC,Rajiv Gandhi Intl. Cricket Stadium,2008-05-18,2008
79,Shahid Afridi,33,14,235.71,3,2,DC,Arun Jaitley Stadium,2008-05-15,2008
80,Shaun Pollock,28,12,233.33,3,2,RCB,Wankhede Stadium,2008-04-20,2008
81,Subramaniam Badrinath,31,14,221.42,3,2,PBKS,IS Bindra Stadium,2008-04-19,2008
82,Venugopal Rao,26,12,216.66,2,2,RCB,Rajiv Gandhi Intl. Cricket Stadium,2008-05-25,2008
83,Mahela Jayawardena,36,17,211.76,3,2,DC,Arun Jaitley Stadium,2008-05-17,2008
84,Mark Boucher,39,19,205.26,4,2,MI,Wankhede Stadium,2008-04-20,2008
85,Brendon McCullum,24,12,200.0,2,2,CSK,Chidambaram,2008-04-26,2008
86,Robin Uthappa,46,23,200.0,5,2,DC,Arun Jaitley Stadium,2008-05-24,2008
87,Kumar Sangakkara,50,25,200.0,7,2,DEC,IS Bindra Stadium,2008-05-23,2008
88,Rohit Sharma,35,18,194.44,3,2,DC,Arun Jaitley Stadium,2008-05-15,2008
89,Ross Taylor,29,15,193.33,3,2,DC,Arun Jaitley Stadium,2008-04-30,2008
90,Ross Taylor,23,12,191.66,1,2,MI,Wankhede Stadium,2008-04-20,2008
91,Venugopal Rao,34,18,188.88,3,2,DC,Arun Jaitley Stadium,2008-05-15,2008
92,Suresh Raina,45,24,187.5,6,2,RR,Chidambaram,2008-05-24,2008
93,Yusuf Pathan,68,37,183.78,9,2,DEC,Sawai Mansingh Stadium,2008-05-09,2008
94,Mark Boucher,31,17,182.35,2,2,DC,Arun Jaitley Stadium,2008-04-30,2008
95,Laxmi Ratan Shukla,40,22,181.81,4,2,MI,Eden Gardens,2008-04-29,2008
96,Rohit Sharma,76,42,180.95,10,2,PBKS,Rajiv Gandhi Intl. Cricket Stadium,2008-05-01,2008
97,Yuvraj Singh,23,13,176.92,1,2,CSK,IS Bindra Stadium,2008-04-19,2008
98,Dwayne Bravo,30,17,176.47,2,2,DEC,Rajiv Gandhi Intl. Cricket Stadium,2008-05-18,2008
99,Matthew Hayden,81,46,176.08,12,2,MI,Chidambaram,2008-04-23,2008
100,Albie Morkel,28,16,175.0,3,2,DC,Chidambaram,2008-05-02,2008
101,MF Maharoof,19,11,172.72,0,2,DEC,Arun Jaitley Stadium,2008-05-15,2008
102,MS Dhoni,29,17,170.58,1,2,RR,DY Patil Stadium,2008-06-01,2008
103,Sanath Jayasuriya,20,12,166.66,1,2,PBKS,Wankhede Stadium,2008-05-21,2008
104,Yusuf Pathan,55,33,166.66,6,2,KKR,Sawai Mansingh Stadium,2008-05-01,2008
105,Suresh Raina,28,17,164.7,1,2,RCB,M. Chinnaswamy Stadium,2008-04-28,2008
106,Kumar Sangakkara,54,33,163.63,5,2,CSK,IS Bindra Stadium,2008-04-19,2008
107,Subramaniam Badrinath,53,33,160.6,7,2,MI,Wankhede Stadium,2008-05-14,2008
108,MS Dhoni,43,27,159.25,3,2,KKR,Chidambaram,2008-04-26,2008
109,Abhishek Nayar,38,24,158.33,3,2,DEC,Rajiv Gandhi Intl. Cricket Stadium,2008-05-18,2008
110,Graeme Smith,71,45,157.77,9,2,DEC,Rajiv Gandhi Intl. Cricket Stadium,2008-04-24,2008
111,Debabrata Das,31,20,155.0,1,2,RR,Eden Gardens,2008-05-20,2008
112,Ajit Agarkar,20,13,153.84,1,2,RR,Sawai Mansingh Stadium,2008-05-01,2008
113,Graeme Smith,75,49,153.06,8,2,RCB,Sawai Mansingh Stadium,2008-05-17,2008
114,Albie Morkel,29,19,152.63,1,2,DEC,Chidambaram,2008-05-06,2008
115,Swapnil Asnodkar,41,27,151.85,5,2,CSK,Chidambaram,2008-05-24,2008
116,Wasim Jaffer,50,33,151.51,5,2,CSK,M. Chinnaswamy Stadium,2008-04-28,2008
117,Abhishek Nayar,27,18,150.0,1,2,PBKS,Wankhede Stadium,2008-05-21,2008
118,Adam Gilchrist,54,36,150.0,7,2,CSK,Chidambaram,2008-05-06,2008
119,Shane Watson,61,41,148.78,8,2,RCB,M. Chinnaswamy Stadium,2008-04-26,2008
120,Shaun Marsh,74,51,145.09,9,2,RCB,IS Bindra Stadium,2008-05-12,2008
121,Suresh Raina,43,30,143.33,1,2,RR,DY Patil Stadium,2008-06-01,2008
122,Kumar Sangakkara,64,45,142.22,7,2,KKR,Eden Gardens,2008-05-25,2008
123,Luke Pomersbach,34,24,141.66,3,2,RCB,IS Bindra Stadium,2008-05-12,2008
124,David Hussey,42,30,140.0,1,2,RR,Sawai Mansingh Stadium,2008-05-01,2008
125,Herschelle Gibbs,47,34,138.23,6,2,RCB,Rajiv Gandhi Intl. Cricket Stadium,2008-05-25,2008
126,Yuvraj Singh,40,29,137.93,3,2,DC,IS Bindra Stadium,2008-04-27,2008
127,Rohit Sharma,33,24,137.5,3,2,KKR,Rajiv Gandhi Intl. Cricket Stadium,2008-05-11,2008
128,Rahul Dravid,26,19,136.84,1,2,DEC,M. Chinnaswamy Stadium,2008-05-03,2008
129,Parthiv Patel,54,40,135.0,5,2,RR,Chidambaram,2008-05-24,2008
130,Cameron White,31,23,134.78,1,2,DEC,Rajiv Gandhi Intl. Cricket Stadium,2008-05-25,2008
131,Virat Kohli,38,29,131.03,1,2,DEC,M. Chinnaswamy Stadium,2008-05-03,2008
132,Sourav Ganguly,51,39,130.76,4,2,RR,Sawai Mansingh Stadium,2008-05-01,2008
133,Shaun Marsh,40,31,129.03,3,2,KKR,Eden Gardens,2008-05-25,2008
134,Shikhar Dhawan,59,46,128.26,6,2,CSK,Arun Jaitley Stadium,2008-05-08,2008
135,Michael Hussey,47,37,127.02,3,2,RCB,M. Chinnaswamy Stadium,2008-04-28,2008
136,Ravindra Jadeja,29,23,126.08,2,2,DC,Arun Jaitley Stadium,2008-04-19,2008
137,Suresh Raina,54,43,125.58,5,2,DEC,Rajiv Gandhi Intl. Cricket Stadium,2008-05-27,2008
138,Dominic Thornely,30,24,125.0,2,2,DC,DY Patil Stadium,2008-05-04,2008
139,Adam Gilchrist,46,37,124.32,4,2,RCB,Rajiv Gandhi Intl. Cricket Stadium,2008-05-25,2008
140,Karan Goel,26,21,123.8,3,2,RR,Sawai Mansingh Stadium,2008-04-21,2008
141,Albie Morkel,16,13,123.07,0,2,RR,DY Patil Stadium,2008-06-01,2008
142,Praveen Kumar,18,15,120.0,1,2,KKR,M. Chinnaswamy Stadium,2008-04-18,2008
143,Stephen Fleming,45,39,115.38,3,2,RCB,Chidambaram,2008-05-21,2008
144,Robin Uthappa,22,21,104.76,0,2,DC,DY Patil Stadium,2008-05-04,2008
145,Adam Gilchrist,23,22,104.54,1,2,KKR,Eden Gardens,2008-04-20,2008
146,David Hussey,31,31,100.0,0,2,DC,Eden Gardens,2008-05-13,2008
147,Herschelle Gibbs,22,22,100.0,1,2,DC,Arun Jaitley Stadium,2008-05-15,2008
148,Debabrata Das,27,32,84.37,1,2,CSK,Eden Gardens,2008-05-18,2008
149,Andrew Symonds,32,39,82.05,2,2,KKR,Eden Gardens,2008-04-20,2008
150,Laxmi Ratan Shukla,14,3,466.66,2,1,DEC,Rajiv Gandhi Intl. Cricket Stadium,2008-05-11,2008
1,Yusuf Pathan,62,30,206.66,3,6,DC,Supersport Park,2009-04-28,2009
2,Matthew Hayden,89,58,153.44,8,6,PBKS,Supersport Park,2009-05-07,2009
3,Ross Taylor,81,33,245.45,7,5,KKR,Supersport Park,2009-05-12,2009
4,Adam Gilchrist,85,35,242.85,10,5,DC,Supersport Park,2009-05-22,2009
5,Dwayne Smith,49,23,213.04,2,5,CSK,Buffalo Park,2009-05-04,2009
6,Adam Gilchrist,64,33,193.93,5,5,DC,Kingsmead,2009-05-13,2009
7,Suresh Raina,98,55,178.18,10,5,RR,Supersport Park,2009-04-30,2009
8,Rohit Sharma,52,30,173.33,1,5,RCB,Newlands,2009-04-22,2009
9,Adam Gilchrist,71,45,157.77,6,5,RCB,Newlands,2009-04-22,2009
10,Ravi Bopara,84,59,142.37,4,5,RCB,Kingsmead,2009-04-24,2009
11,Naman Ojha,68,51,133.33,5,5,PBKS,Kingsmead,2009-05-05,2009
12,David Hussey,43,17,252.94,2,4,DEC,New Wanderers Stadium,2009-05-16,2009
13,Simon Katich,50,25,200.0,3,4,CSK,Supersport Park,2009-05-07,2009
14,Chris Gayle,44,26,169.23,2,4,PBKS,Kingsmead,2009-04-21,2009
15,Andrew Symonds,60,36,166.66,2,4,PBKS,De Beers Diamond Oval,2009-05-09,2009
16,Sanath Jayasuriya,52,32,162.5,2,4,KKR,St George's Park,2009-04-27,2009
17,Brad Hodge,71,44,161.36,4,4,CSK,Supersport Park,2009-05-18,2009
18,Manish Pandey,114,73,156.16,10,4,DEC,Supersport Park,2009-05-21,2009
19,Sachin Tendulkar,68,45,151.11,6,4,KKR,St George's Park,2009-04-27,2009
20,Yuvraj Singh,50,34,147.05,3,4,RCB,Kingsmead,2009-05-01,2009
21,Dwayne Smith,47,32,146.87,0,4,RR,De Beers Diamond Oval,2009-05-11,2009
22,JP Duminy,52,37,140.54,1,4,KKR,Buffalo Park,2009-05-01,2009
23,Herschelle Gibbs,60,43,139.53,3,4,RCB,Supersport Park,2009-05-21,2009
24,Chris Gayle,41,33,124.24,2,4,RR,Newlands,2009-04-23,2009
25,Abhishek Nayar,35,14,250.0,2,3,CSK,Newlands,2009-04-18,2009
26,Adam Gilchrist,44,19,231.57,5,3,CSK,Kingsmead,2009-04-27,2009
27,Matthew Hayden,57,27,211.11,5,3,DC,Kingsmead,2009-04-23,2009
28,Ross Taylor,25,12,208.33,1,3,DC,New Wanderers Stadium,2009-05-19,2009
29,Irfan Pathan,21,11,190.9,0,3,DC,OUTsurance Oval,2009-05-15,2009
30,Sunny Sohal,43,23,186.95,5,3,MI,Supersport Park,2009-05-12,2009
31,Roelof van der Merwe,35,19,184.21,3,3,PBKS,Kingsmead,2009-05-01,2009
32,Naman Ojha,22,12,183.33,0,3,KKR,Kingsmead,2009-05-20,2009
33,Karan Goel,38,21,180.95,3,3,DC,Newlands,2009-04-19,2009
34,Adam Gilchrist,35,20,175.0,3,3,MI,Kingsmead,2009-04-25,2009
35,Brendon McCullum,81,48,168.75,11,3,CSK,Supersport Park,2009-05-18,2009
36,Matthew Hayden,43,26,165.38,5,3,DEC,Buffalo Park,2009-05-04,2009
37,Rohit Sharma,42,26,161.53,3,3,PBKS,New Wanderers Stadium,2009-05-17,2009
38,Matthew Hayden,60,38,157.89,5,3,RCB,Kingsmead,2009-05-14,2009
39,Mahela Jayawardena,43,28,153.57,1,3,DEC,De Beers Diamond Oval,2009-05-09,2009
40,Roelof van der Merwe,32,21,152.38,1,3,DEC,New Wanderers Stadium,2009-05-24,2009
41,Sunny Sohal,25,17,147.05,0,3,KKR,St George's Park,2009-05-03,2009
42,Suresh Raina,52,36,144.44,3,3,KKR,Supersport Park,2009-05-18,2009
43,JP Duminy,59,41,143.9,2,3,RCB,St George's Park,2009-05-10,2009
44,Naman Ojha,52,38,136.84,3,3,RCB,Supersport Park,2009-05-07,2009
45,Yuvraj Singh,48,37,129.72,3,3,RR,Kingsmead,2009-05-05,2009
46,Brad Hodge,73,60,121.66,5,3,MI,Buffalo Park,2009-05-01,2009
47,Brendon McCullum,35,29,120.68,1,3,DC,Kingsmead,2009-05-05,2009
48,Dwayne Bravo,70,59,118.64,7,3,PBKS,Supersport Park,2009-05-12,2009
49,Harbhajan Singh,20,8,250.0,1,2,DEC,Kingsmead,2009-04-25,2009
50,Rohit Sharma,32,13,246.15,3,2,KKR,New Wanderers Stadium,2009-05-16,2009
51,Praveen Kumar,14,6,233.33,0,2,DEC,Newlands,2009-04-22,2009
52,Harbhajan Singh,18,8,225.0,1,2,KKR,St George's Park,2009-04-27,2009
53,Virat Kohli,19,9,211.11,0,2,DEC,Supersport Park,2009-05-21,2009
54,Albie Morkel,21,10,210.0,1,2,KKR,Supersport Park,2009-05-18,2009
55,MS Dhoni,56,27,207.4,7,2,PBKS,Supersport Park,2009-05-07,2009
56,Yusuf Pathan,42,21,200.0,6,2,KKR,Newlands,2009-04-23,2009
57,Andrew Symonds,41,22,186.36,3,2,DC,Kingsmead,2009-05-13,2009
58,Matthew Hayden,65,35,185.71,9,2,RCB,St George's Park,2009-04-20,2009
59,Rahul Dravid,48,27,177.77,5,2,DEC,Newlands,2009-04-22,2009
60,Sanath Jayasuriya,30,17,176.47,3,2,CSK,St George's Park,2009-05-16,2009
61,Mahela Jayawardena,44,25,176.0,3,2,CSK,Supersport Park,2009-05-07,2009
62,Dwayne Smith,48,28,171.42,5,2,DC,Supersport Park,2009-04-30,2009
63,Yusuf Pathan,24,14,171.42,2,2,DEC,St George's Park,2009-05-02,2009
64,Suresh Raina,32,19,168.42,1,2,DEC,Buffalo Park,2009-05-04,2009
65,Suresh Raina,20,12,166.66,2,2,MI,St George's Park,2009-05-16,2009
66,Abhishek Raut,21,13,161.53,1,2,KKR,Newlands,2009-04-23,2009
67,Yuvraj Singh,58,36,161.11,5,2,CSK,Supersport Park,2009-05-07,2009
68,David Hussey,43,27,159.25,3,2,RCB,Supersport Park,2009-05-12,2009
69,Ross Taylor,35,22,159.09,4,2,PBKS,Kingsmead,2009-04-24,2009
70,Dwayne Smith,35,22,159.09,2,2,MI,Kingsmead,2009-04-25,2009
71,Tirumalasetti Suman,27,17,158.82,1,2,PBKS,De Beers Diamond Oval,2009-05-09,2009
72,Robin Uthappa,66,42,157.14,8,2,MI,New Wanderers Stadium,2009-05-03,2009
73,Tirumalasetti Suman,20,13,153.84,1,2,MI,Supersport Park,2009-05-06,2009
74,Sourav Ganguly,46,30,153.33,4,2,RR,Newlands,2009-04-23,2009
75,Pinal Shah,29,19,152.63,3,2,DEC,Supersport Park,2009-05-06,2009
76,Suresh Raina,32,21,152.38,2,2,DC,New Wanderers Stadium,2009-05-02,2009
77,Kevin Pietersen,37,25,148.0,2,2,DC,St George's Park,2009-04-26,2009
78,Yuvraj Singh,16,11,145.45,0,2,DC,Newlands,2009-04-19,2009
79,Mark Boucher,48,33,145.45,1,2,MI,St George's Park,2009-05-10,2009
80,Ross Taylor,17,12,141.66,0,2,CSK,New Wanderers Stadium,2009-05-23,2009
81,Jacob Oram,41,29,141.37,4,2,DEC,Kingsmead,2009-04-27,2009
82,Virat Kohli,24,17,141.17,1,2,CSK,New Wanderers Stadium,2009-05-23,2009
83,Adam Gilchrist,43,31,138.7,5,2,KKR,New Wanderers Stadium,2009-05-16,2009
84,MS Dhoni,36,26,138.46,1,2,MI,Newlands,2009-04-18,2009
85,Ravi Bopara,22,16,137.5,0,2,DC,Newlands,2009-04-19,2009
86,Ajinkya Rahane,56,41,136.58,5,2,DC,Supersport Park,2009-05-21,2009
87,Yuvraj Singh,38,28,135.71,3,2,KKR,Kingsmead,2009-04-21,2009
88,Jacques Kallis,62,46,134.78,5,2,PBKS,Kingsmead,2009-04-24,2009
89,Ajit Agarkar,39,29,134.48,3,2,DC,New Wanderers Stadium,2009-05-10,2009
90,Sachin Tendulkar,36,27,133.33,3,2,DEC,Kingsmead,2009-04-25,2009
91,Subramaniam Badrinath,45,34,132.35,4,2,DC,New Wanderers Stadium,2009-05-02,2009
92,Herschelle Gibbs,58,44,131.81,6,2,MI,Kingsmead,2009-04-25,2009
93,Suresh Raina,25,19,131.57,1,2,DEC,Kingsmead,2009-04-27,2009
94,Brendon McCullum,84,64,131.25,10,2,RCB,Supersport Park,2009-05-12,2009
95,Brendon McCullum,21,16,131.25,1,2,PBKS,Kingsmead,2009-04-21,2009
96,Mark Boucher,36,28,128.57,2,2,DC,St George's Park,2009-04-26,2009
97,Rajesh Bishnoi,18,14,128.57,1,2,PBKS,Kingsmead,2009-05-01,2009
98,Venugopal Rao,32,25,128.0,1,2,PBKS,De Beers Diamond Oval,2009-05-09,2009
99,Rob Quiney,51,40,127.5,5,2,MI,Kingsmead,2009-05-14,2009
100,Dwayne Bravo,50,40,125.0,1,2,RCB,New Wanderers Stadium,2009-05-03,2009
101,Shane Warne,21,17,123.52,0,2,DEC,St George's Park,2009-05-02,2009
102,Herschelle Gibbs,69,56,123.21,6,2,CSK,Kingsmead,2009-04-27,2009
103,Abhishek Nayar,33,27,122.22,1,2,CSK,St George's Park,2009-05-16,2009
104,Rohit Sharma,38,32,118.75,2,2,RR,St George's Park,2009-05-02,2009
105,Irfan Pathan,39,33,118.18,2,2,RR,Newlands,2009-04-26,2009
106,JP Duminy,47,40,117.5,4,2,DEC,Kingsmead,2009-04-25,2009
107,Jacques Kallis,69,59,116.94,5,2,MI,New Wanderers Stadium,2009-05-03,2009
108,Dwayne Bravo,35,30,116.66,2,2,DC,Buffalo Park,2009-05-08,2009
109,JP Duminy,62,54,114.81,4,2,CSK,St George's Park,2009-05-16,2009
110,Sachin Tendulkar,34,30,113.33,3,2,KKR,Buffalo Park,2009-05-01,2009
111,Rohit Sharma,36,32,112.5,3,2,KKR,Newlands,2009-04-19,2009
112,Adam Gilchrist,39,35,111.42,5,2,RR,St George's Park,2009-05-02,2009
113,Herschelle Gibbs,53,48,110.41,3,2,RCB,New Wanderers Stadium,2009-05-24,2009
114,Virat Kohli,38,35,108.57,4,2,CSK,Kingsmead,2009-05-14,2009
115,Laxmi Ratan Shukla,48,46,104.34,3,2,RR,Kingsmead,2009-05-20,2009
116,Jacques Kallis,58,56,103.57,2,2,DC,New Wanderers Stadium,2009-05-19,2009
117,Sourav Ganguly,44,45,97.77,1,2,DC,New Wanderers Stadium,2009-05-10,2009
118,Amit Mishra,13,4,325.0,1,1,MI,Supersport Park,2009-05-21,2009
119,Rob Quiney,6,2,300.0,0,1,KKR,Newlands,2009-04-23,2009
120,Manpreet Gony,6,2,300.0,0,1,DC,Kingsmead,2009-04-23,2009
121,Ravindra Jadeja,33,12,275.0,5,1,PBKS,Kingsmead,2009-05-05,2009
122,Dwayne Smith,12,5,240.0,1,1,CSK,Kingsmead,2009-04-27,2009
123,Ajit Agarkar,7,3,233.33,0,1,DEC,Newlands,2009-04-19,2009
124,Wriddhiman Saha,7,3,233.33,0,1,DEC,New Wanderers Stadium,2009-05-16,2009
125,Simon Katich,20,10,200.0,3,1,DC,OUTsurance Oval,2009-05-15,2009
126,Praveen Kumar,12,6,200.0,0,1,CSK,Kingsmead,2009-05-14,2009
127,Wriddhiman Saha,10,5,200.0,0,1,RCB,Supersport Park,2009-05-12,2009
128,Shane Warne,6,3,200.0,0,1,DC,OUTsurance Oval,2009-05-17,2009
129,Brendon McCullum,6,3,200.0,0,1,DC,New Wanderers Stadium,2009-05-10,2009
130,Balachandra Akhil,8,4,200.0,0,1,DC,St George's Park,2009-04-26,2009
131,Abhishek Nayar,35,18,194.44,4,1,RR,Kingsmead,2009-05-14,2009
132,Mark Boucher,25,13,192.3,2,1,KKR,Kingsmead,2009-04-29,2009
133,Wriddhiman Saha,25,13,192.3,2,1,CSK,Supersport Park,2009-05-18,2009
134,Shane Warne,21,11,190.9,2,1,CSK,De Beers Diamond Oval,2009-05-09,2009
135,Irfan Pathan,32,17,188.23,5,1,KKR,Kingsmead,2009-04-21,2009
136,Praveen Kumar,13,7,185.71,0,1,PBKS,Kingsmead,2009-04-24,2009
137,Herschelle Gibbs,13,7,185.71,1,1,RCB,Newlands,2009-04-22,2009
138,Albie Morkel,13,7,185.71,1,1,DEC,Kingsmead,2009-04-27,2009
139,Adam Gilchrist,23,13,176.92,4,1,PBKS,New Wanderers Stadium,2009-05-17,2009
140,Sunny Sohal,30,17,176.47,4,1,DEC,De Beers Diamond Oval,2009-05-09,2009
141,Yuvraj Singh,30,17,176.47,3,1,RCB,Kingsmead,2009-04-24,2009
142,Praveen Kumar,7,4,175.0,0,1,RR,Supersport Park,2009-05-07,2009
143,Graeme Smith,77,44,175.0,12,1,PBKS,Kingsmead,2009-05-05,2009
144,Scott Styris,14,8,175.0,0,1,RCB,Newlands,2009-04-22,2009
145,Yusuf Pathan,12,7,171.42,1,1,PBKS,Kingsmead,2009-05-05,2009
146,Andrew Flintoff,22,13,169.23,2,1,RCB,St George's Park,2009-04-20,2009
