POS,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date,Year
147,Jos Buttler,13,6,216.66,1,1,CSK,Zayed Cricket Stadium,2020-10-19,2020
148,Devdutt Padikkal,13,5,260.0,0,2,MI,Dubai International Stadium,2020-09-28,2020
149,Aaron Finch,13,5,260.0,3,0,MI,Dubai International Stadium,2020-09-28,2020
150,Marcus Stoinis,13,5,260.0,3,0,PBKS,Dubai International Stadium,2020-09-20,2020
1,Ravindra Jadeja,36,7,514.28,1,5,RCB,Wankhede Stadium,2021-04-25,2021
2,Pat Cummins,30,6,500.0,1,4,CSK,Wankhede Stadium,2021-04-21,2021
3,Prithvi Shaw,24,6,400.0,6,0,KKR,Narendra Modi Stadium,2021-04-29,2021
4,Mahipal Lomror,24,6,400.0,2,2,PBKS,Dubai International Stadium,2021-09-21,2021
5,Glenn Maxwell,22,6,366.66,3,1,RR,Dubai International Stadium,2021-09-29,2021
6,Andre Russell,22,6,366.66,1,3,CSK,Wankhede Stadium,2021-04-21,2021
7,Yashasvi Jaiswal,22,6,366.66,1,3,CSK,Zayed Cricket Stadium,2021-10-02,2021
8,Jos Buttler,22,6,366.66,1,3,SRH,Arun Jaitley Stadium,2021-05-02,2021
9,AB de Villiers,22,6,366.66,0,3,DC,Narendra Modi Stadium,2021-04-27,2021
10,Ravindra Jadeja,21,5,420.0,2,2,KKR,Zayed Cricket Stadium,2021-09-26,2021
11,Shikhar Dhawan,21,6,350.0,2,2,CSK,Dubai International Stadium,2021-10-04,2021
12,Jos Buttler,20,5,400.0,2,2,SRH,Arun Jaitley Stadium,2021-05-02,2021
13,AB de Villiers,20,6,333.33,3,1,KKR,Chidambaram,2021-04-18,2021
14,Robin Uthappa,20,6,333.33,2,2,DC,Dubai International Stadium,2021-10-10,2021
15,Sanju Samson,20,6,333.33,1,2,SRH,Dubai International Stadium,2021-09-27,2021
16,Shimron Hetmyer,20,5,400.0,0,3,RCB,Narendra Modi Stadium,2021-04-27,2021
17,Chris Gayle,20,6,333.33,5,0,RCB,Narendra Modi Stadium,2021-04-30,2021
18,Rishabh Pant,20,6,333.33,4,0,RR,Wankhede Stadium,2021-04-15,2021
19,Kieron Pollard,19,5,380.0,3,1,CSK,Arun Jaitley Stadium,2021-05-01,2021
20,Andre Russell,19,5,380.0,3,1,RCB,Chidambaram,2021-04-18,2021
21,Sunil Narine,19,5,380.0,1,2,DC,Sharjah Cricket Stadium,2021-09-28,2021
22,Ishan Kishan,19,7,271.42,1,2,RR,Sharjah Cricket Stadium,2021-10-05,2021
23,Kane Williamson,19,5,380.0,3,1,CSK,Arun Jaitley Stadium,2021-04-28,2021
24,Deepak Hooda,19,5,380.0,0,3,RR,Wankhede Stadium,2021-04-12,2021
25,Kieron Pollard,19,5,380.0,0,3,CSK,Arun Jaitley Stadium,2021-05-01,2021
26,Sunil Narine,19,4,475.0,0,3,RCB,Sharjah Cricket Stadium,2021-10-11,2021
27,Ishan Kishan,18,6,300.0,4,0,SRH,Zayed Cricket Stadium,2021-10-08,2021
