Player Name,Base Price,Type,Cost in Rs. (CR),Cost in $ (K),2022 Squad,2023 Squad
Chirag Gandhi,2000000,BATSMAN,0.0,0.0,Unsold,Unsold
Arman Jaffer,2000000,BATSMAN,0.0,0.0,Unsold,Unsold
Madhav Kaushik,2000000,BATSMAN,0.0,0.0,Unsold,Unsold
Priyank Panchal,2000000,BATSMAN,0.0,0.0,Unsold,Unsold
Ayush Pandey,2000000,BATSMAN,0.0,0.0,Unsold,Unsold
Rohan Patil,2000000,BATSMAN,0.0,0.0,Unsold,Unsold
Sanjay Ramaswamy,2000000,BATSMAN,0.0,0.0,Unsold,Unsold
Siddharth Yadav,2000000,BATSMAN,0.0,0.0,Unsold,Unsold
Rehan Ahmed,4000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Prayas Barman,2000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Rahul Buddhi,2000000,ALL-ROUNDER,0.0,0.0,MI,Unsold
Vaisakh Chandran,2000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Writtick Chatterjee,2000000,ALL-ROUNDER,0.0,0.0,PBKS,Unsold
Prashant Chopra,2000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Harsh Dubey,2000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Tanush Kotian,2000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Ninad Rathva,2000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
B. Surya,2000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Jordan Thompson,4000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Shivank Vashisth,2000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Ankush Bains,2000000,WICKETKEEPER,0.0,0.0,Unsold,Unsold
Christopher Benjamin,2000000,WICKETKEEPER,0.0,0.0,Unsold,Unsold
Connor Esterhuizen,2000000,WICKETKEEPER,0.0,0.0,Unsold,Unsold
Mohd Arslan Khan,2000000,WICKETKEEPER,0.0,0.0,Unsold,Unsold
Mamidi Krishna,2000000,WICKETKEEPER,0.0,0.0,Unsold,Unsold
Fazil Makaya,2000000,WICKETKEEPER,0.0,0.0,Unsold,Unsold
Akshdeep Nath,2000000,WICKETKEEPER,0.0,0.0,Unsold,Unsold
Deepak Punia,2000000,WICKETKEEPER,0.0,0.0,Unsold,Unsold
Ateev Saini,2000000,WICKETKEEPER,0.0,0.0,Unsold,Unsold
Bipin Saurabh,2000000,WICKETKEEPER,0.0,0.0,Unsold,Unsold
B.R. Sharath,2000000,WICKETKEEPER,0.0,0.0,Unsold,Unsold
Yashovardhan Singh,2000000,WICKETKEEPER,0.0,0.0,Unsold,Unsold
Lakshay Thareja,2000000,WICKETKEEPER,0.0,0.0,Unsold,Unsold
Mohit Avasthi,2000000,BOWLER,0.0,0.0,Unsold,Unsold
Ottneil Baartman,2000000,BOWLER,0.0,0.0,Unsold,Unsold
Gurnoor Singh Brar,2000000,BOWLER,0.0,0.0,Unsold,Unsold
Shahrukh Dar,2000000,BOWLER,0.0,0.0,Unsold,Unsold
Thomas Helm,4000000,BOWLER,0.0,0.0,Unsold,Unsold
Pankaj Jaswal,2000000,BOWLER,0.0,0.0,Unsold,Unsold
Venkatesh Muralidhara,2000000,BOWLER,0.0,0.0,Unsold,Unsold
Geet Puri,2000000,BOWLER,0.0,0.0,Unsold,Unsold
E. Sanketh,2000000,BOWLER,0.0,0.0,Unsold,Unsold
Ajay Sarkar,2000000,BOWLER,0.0,0.0,Unsold,Unsold
Ashok Sharma,2000000,BOWLER,0.0,0.0,Unsold,Unsold
Kanwar Singh,2000000,BOWLER,0.0,0.0,Unsold,Unsold
Fabian Allen,5000000,ALL-ROUNDER,0.0,0.0,MI,Unsold
Carlos Brathwaite,7500000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Roston Chase,10000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Rahkeem Cornwall,10000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Karim Janat,5000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Keshav Maharaj,5000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Pawan Negi,5000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Keemo Paul,5000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Shivam Chaudhary,2000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Ashwin Das,2000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
James Fuller,4000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Chirag Jani,2000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Akshay Karnewar,2000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Bhagmender Lather,2000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Lone Muzaffar,2000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Pulkit Narang,2000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Rohit Rayudu,2000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Sameer Rizvi,2000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Tunish Sawkar,2000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Auqib Dar,2000000,BOWLER,0.0,0.0,Unsold,Unsold
Mukhtar Hussain,2000000,BOWLER,0.0,0.0,Unsold,Unsold
Ashwani Kumar,2000000,BOWLER,0.0,0.0,Unsold,Unsold
Hemant Kumar,2000000,BOWLER,0.0,0.0,Unsold,Unsold
Nathan McAndrew,2000000,BOWLER,0.0,0.0,Unsold,Unsold
Rajesh Mohanty,2000000,BOWLER,0.0,0.0,Unsold,Unsold
Ravi Sharma,2000000,BOWLER,0.0,0.0,Unsold,Unsold
Vikash Singh,2000000,BOWLER,0.0,0.0,Unsold,Unsold
Ruben Trumpelmann,2000000,BOWLER,0.0,0.0,Unsold,Unsold
Koushik Vasuki,2000000,BOWLER,0.0,0.0,Unsold,Unsold
Vasu Vats,2000000,BOWLER,0.0,0.0,Unsold,Unsold
Shubham Agrawal,2000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Baba Aparajith,2000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Anshul Kamboj,2000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Azim Kazi,2000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Dev Lakra,2000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Jitender Pal,2000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Ritwik Roy Chowdhury,2000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Utkarsh Singh,2000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Shubham Singh,2000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Avneesh Sudha,2000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Asad Jamil Ahmed,2000000,BOWLER,0.0,0.0,Unsold,Unsold
Bandaru Ayyappa,2000000,BOWLER,0.0,0.0,Unsold,Unsold
Aashish Bhatt,2000000,BOWLER,0.0,0.0,Unsold,Unsold
McKenny Clarke,2000000,BOWLER,0.0,0.0,Unsold,Unsold
Shubham Kapse,2000000,BOWLER,0.0,0.0,Unsold,Unsold
Gourav Koul,2000000,BOWLER,0.0,0.0,Unsold,Unsold
Raunak Kumar,2000000,BOWLER,0.0,0.0,Unsold,Unsold
Trilok Nag,2000000,BOWLER,0.0,0.0,Unsold,Unsold
Atal Bihari Rai,2000000,BOWLER,0.0,0.0,Unsold,Unsold
Ramon Simmonds,2000000,BOWLER,0.0,0.0,Unsold,Unsold
Rajeev Singh,2000000,BOWLER,0.0,0.0,Unsold,Unsold
Mohd. Wasim,2000000,BOWLER,0.0,0.0,Unsold,Unsold
Atharva Ankolekar,2000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Khizar Dafedar,2000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Naman Dhir,2000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Sahil Dhiwan,2000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Sampark Gupta,2000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Jordan Hermann,2000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Hayden Kerr,2000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Salman Khan,2000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Sairaj Patil,2000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Divyaansh Saxena,2000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Purnank Tyagi,2000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Prince Yadav,2000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Deepraj Gaonkar,2000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Shubham Garhwal,2000000,ALL-ROUNDER,0.0,0.0,RR,Unsold
Benny Howell,4000000,ALL-ROUNDER,0.0,0.0,PBKS,Unsold
Deepesh Nailwal,2000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Arjun Rapria,2000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Shashwat Rawat,2000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Sumit Ruikar,2000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Shivam Sharma,2000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Rajandeep Singh,2000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Anunay Singh,2000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Digvesh Singh,2000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Pranshu Vijayran,2000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Prerit Dutta,2000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Ramakrishna Ghosh,2000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Shubhang Hegde,2000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Shamshuzama Kazi,2000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Ayaz Khan,2000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Amit Pachhara,2000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Akul Pandove,2000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Garv Sangwan,2000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Shubham Sharma,2000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Amit Yadav,2000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Amit Ali,2000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Rishabh Chauhan,2000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Matthew Forde,2000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Sammar Gajjar,2000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Rajneesh Gurbani,2000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Divyansh Joshi,2000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Dhruv Patel,2000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Jack Prestwidge,2000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Aditya Sarvate,2000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Sagar Solanki,2000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
Prenelan Subrayen,2000000,ALL-ROUNDER,0.0,0.0,Unsold,Unsold
