POS,Player,Ov,Runs,Wkts,SR,Against,Venue,Match Date,Year
126,Ravichandran Ashwin,4.0,38,1,24.0,KKR,IS Bindra Stadium,2019-05-03,2019
127,Jasprit Bumrah,4.0,38,1,24.0,PBKS,Wankhede Stadium,2019-04-10,2019
128,Lockie Ferguson,4.0,38,1,24.0,DC,Arun Jaitley Stadium,2019-03-30,2019
129,Dhawal Kulkarni,4.0,38,1,24.0,MI,Wankhede Stadium,2019-04-13,2019
130,Mohammed Siraj,4.0,38,2,12.0,MI,M. Chinnaswamy Stadium,2019-03-28,2019
131,Kagiso Rabada,4.0,38,2,12.0,MI,Arun Jaitley Stadium,2019-04-18,2019
132,Chris Morris,4.0,38,2,12.0,KKR,Eden Gardens,2019-04-12,2019
133,Ishant Sharma,4.0,38,3,8.0,RR,Arun Jaitley Stadium,2019-05-04,2019
134,Yuzvendra Chahal,4.0,38,4,6.0,MI,M. Chinnaswamy Stadium,2019-03-28,2019
135,Piyush Chawla,3.0,38,0,0.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,2019-04-21,2019
136,Harshal Patel,4.0,37,0,0.0,PBKS,IS Bindra Stadium,2019-04-01,2019
137,Trent Boult,4.0,37,0,0.0,CSK,Chidambaram,2019-05-01,2019
138,Bhuvneshwar Kumar,4.0,37,0,0.0,KKR,Eden Gardens,2019-03-24,2019
139,Shardul Thakur,4.0,37,0,0.0,MI,Wankhede Stadium,2019-04-03,2019
140,Lasith Malinga,4.0,37,1,24.0,DC,Arun Jaitley Stadium,2019-04-18,2019
141,Andrew Tye,4.0,37,1,24.0,KKR,Eden Gardens,2019-03-27,2019
142,Ravichandran Ashwin,4.0,37,1,24.0,MI,Wankhede Stadium,2019-04-10,2019
143,Dhawal Kulkarni,4.0,37,1,24.0,PBKS,IS Bindra Stadium,2019-04-16,2019
144,Sandeep Sharma,4.0,37,1,24.0,KKR,Rajiv Gandhi Intl. Cricket Stadium,2019-04-21,2019
145,Imran Tahir,4.0,37,1,24.0,MI,Chidambaram,2019-04-26,2019
146,Harry Gurney,4.0,37,1,24.0,CSK,Eden Gardens,2019-04-14,2019
147,Dhawal Kulkarni,4.0,37,1,24.0,CSK,Chidambaram,2019-03-31,2019
148,Kagiso Rabada,4.0,37,2,12.0,RR,Sawai Mansingh Stadium,2019-04-22,2019
149,Harry Gurney,4.0,37,2,12.0,MI,Eden Gardens,2019-04-28,2019
150,Shardul Thakur,4.0,37,2,12.0,MI,Rajiv Gandhi Intl. Cricket Stadium,2019-05-12,2019
1,Siddarth Kaul,4.0,64,2,12.0,MI,Sharjah Cricket Stadium,2020-10-04,2020
2,Ankit Rajpoot,4.0,60,0,0.0,MI,Zayed Cricket Stadium,2020-10-25,2020
3,Dale Steyn,4.0,57,0,0.0,PBKS,Dubai International Stadium,2020-09-24,2020
4,Chris Jordan,4.0,56,0,0.0,DC,Dubai International Stadium,2020-09-20,2020
5,Lungi Ngidi,4.0,56,1,24.0,RR,Sharjah Cricket Stadium,2020-09-22,2020
6,Piyush Chawla,4.0,55,1,24.0,RR,Sharjah Cricket Stadium,2020-09-22,2020
7,Lockie Ferguson,4.0,54,0,0.0,CSK,Dubai International Stadium,2020-10-29,2020
8,Kagiso Rabada,4.0,54,0,0.0,SRH,Dubai International Stadium,2020-10-27,2020
9,Tom Curran,4.0,54,1,24.0,CSK,Sharjah Cricket Stadium,2020-09-22,2020
10,Adam Zampa,4.0,53,1,24.0,MI,Dubai International Stadium,2020-09-28,2020
11,Mohammad Shami,4.0,53,3,8.0,RR,Sharjah Cricket Stadium,2020-09-27,2020
12,Jimmy Neesham,4.0,52,0,0.0,MI,Zayed Cricket Stadium,2020-10-01,2020
13,Sheldon Cottrell,3.0,52,1,18.0,RR,Sharjah Cricket Stadium,2020-09-27,2020
14,James Pattinson,4.0,51,0,0.0,RCB,Dubai International Stadium,2020-09-28,2020
15,Nathan Coulter-Nile,4.0,51,1,24.0,KKR,Zayed Cricket Stadium,2020-10-16,2020
16,Kagiso Rabada,4.0,51,1,24.0,KKR,Sharjah Cricket Stadium,2020-10-03,2020
17,Andre Russell,4.0,51,1,24.0,RCB,Sharjah Cricket Stadium,2020-10-12,2020
18,Jason Holder,4.0,50,1,24.0,DC,Zayed Cricket Stadium,2020-11-08,2020
19,Anrich Nortje,4.0,50,1,24.0,MI,Dubai International Stadium,2020-11-05,2020
20,Andrew Tye,4.0,50,1,24.0,DC,Sharjah Cricket Stadium,2020-10-09,2020
21,Pat Cummins,4.0,49,0,0.0,DC,Sharjah Cricket Stadium,2020-10-03,2020
22,Varun Chakaravarthy,4.0,49,1,24.0,DC,Sharjah Cricket Stadium,2020-10-03,2020
23,Pat Cummins,3.0,49,0,0.0,MI,Zayed Cricket Stadium,2020-09-23,2020
24,Umesh Yadav,4.0,48,0,0.0,SRH,Dubai International Stadium,2020-09-21,2020
25,Trent Boult,4.0,48,0,0.0,PBKS,Dubai International Stadium,2020-10-18,2020
26,Shahbaz Nadeem,4.0,48,0,0.0,DC,Zayed Cricket Stadium,2020-11-08,2020
27,Yuzvendra Chahal,4.0,48,1,24.0,MI,Dubai International Stadium,2020-09-28,2020
28,Sam Curran,4.0,48,1,24.0,RCB,Dubai International Stadium,2020-10-10,2020
29,Navdeep Saini,3.0,48,0,0.0,DC,Dubai International Stadium,2020-10-05,2020
30,Varun Aaron,4.0,47,0,0.0,PBKS,Zayed Cricket Stadium,2020-10-30,2020
31,Deepak Chahar,4.0,47,0,0.0,KKR,Zayed Cricket Stadium,2020-10-07,2020
32,Kartik Tyagi,4.0,47,0,0.0,PBKS,Zayed Cricket Stadium,2020-10-30,2020
33,Jofra Archer,4.0,46,0,0.0,PBKS,Sharjah Cricket Stadium,2020-09-27,2020
34,T Natarajan,4.0,46,0,0.0,RR,Dubai International Stadium,2020-10-22,2020
35,Jaydev Unadkat,4.0,46,0,0.0,RCB,Dubai International Stadium,2020-10-17,2020
36,Marcus Stoinis,4.0,46,1,24.0,KKR,Sharjah Cricket Stadium,2020-10-03,2020
37,Jason Holder,4.0,46,1,24.0,DC,Dubai International Stadium,2020-10-27,2020
38,Basil Thampi,4.0,46,1,24.0,KKR,Zayed Cricket Stadium,2020-10-18,2020
39,Krishnappa Gowtham,4.0,45,1,24.0,MI,Zayed Cricket Stadium,2020-10-01,2020
40,Kartik Tyagi,4.0,45,1,24.0,MI,Zayed Cricket Stadium,2020-10-25,2020
41,Mohit Sharma,4.0,45,1,24.0,PBKS,Dubai International Stadium,2020-09-20,2020
42,Mohammad Shami,4.0,45,2,12.0,RCB,Sharjah Cricket Stadium,2020-10-15,2020
43,Khaleel Ahmed,4.0,45,2,12.0,CSK,Dubai International Stadium,2020-10-13,2020
44,Isuru Udana,4.0,45,2,12.0,MI,Dubai International Stadium,2020-09-28,2020
45,Ravichandran Ashwin,3.0,45,0,0.0,KKR,Zayed Cricket Stadium,2020-10-24,2020
46,Shreyas Gopal,4.0,44,0,0.0,PBKS,Sharjah Cricket Stadium,2020-09-27,2020
47,Jaydev Unadkat,4.0,44,0,0.0,CSK,Sharjah Cricket Stadium,2020-09-22,2020
48,Mujeeb Ur Rahman,4.0,44,0,0.0,KKR,Zayed Cricket Stadium,2020-10-10,2020
49,Daniel Sams,4.0,44,0,0.0,MI,Dubai International Stadium,2020-11-05,2020
50,Ravindra Jadeja,4.0,44,0,0.0,DC,Dubai International Stadium,2020-09-25,2020
51,Tom Curran,4.0,44,1,24.0,PBKS,Sharjah Cricket Stadium,2020-09-27,2020
52,Anrich Nortje,4.0,44,2,12.0,CSK,Sharjah Cricket Stadium,2020-10-17,2020
53,Chris Jordan,3.3,44,1,21.0,RR,Zayed Cricket Stadium,2020-10-30,2020
54,Mohammed Siraj,3.0,44,0,0.0,PBKS,Sharjah Cricket Stadium,2020-10-15,2020
55,Shreyas Gopal,3.0,44,1,18.0,KKR,Dubai International Stadium,2020-11-01,2020
56,Navdeep Saini,4.0,43,0,0.0,MI,Dubai International Stadium,2020-09-28,2020
57,Dale Steyn,4.0,43,0,0.0,MI,Zayed Cricket Stadium,2020-10-28,2020
58,Shreyas Gopal,4.0,43,0,0.0,KKR,Dubai International Stadium,2020-09-30,2020
59,Harshal Patel,4.0,43,0,0.0,RCB,Dubai International Stadium,2020-10-05,2020
60,Jasprit Bumrah,4.0,43,1,24.0,CSK,Zayed Cricket Stadium,2020-09-19,2020
61,Rahul Chahar,4.0,43,1,24.0,RCB,Zayed Cricket Stadium,2020-10-28,2020
62,Murugan Ashwin,4.0,43,1,24.0,RR,Zayed Cricket Stadium,2020-10-30,2020
63,Khaleel Ahmed,4.0,43,1,24.0,DC,Zayed Cricket Stadium,2020-09-29,2020
64,T Natarajan,4.0,43,2,12.0,CSK,Dubai International Stadium,2020-10-02,2020
65,Isuru Udana,3.0,43,0,0.0,RR,Dubai International Stadium,2020-10-17,2020
66,Jasprit Bumrah,4.0,42,0,0.0,RCB,Dubai International Stadium,2020-09-28,2020
67,Avesh Khan,4.0,42,0,0.0,CSK,Dubai International Stadium,2020-09-25,2020
68,Kagiso Rabada,4.0,42,0,0.0,MI,Dubai International Stadium,2020-11-05,2020
69,Trent Boult,4.0,42,1,24.0,PBKS,Zayed Cricket Stadium,2020-10-01,2020
70,Prasidh Krishna,4.0,42,1,24.0,RCB,Sharjah Cricket Stadium,2020-10-12,2020
71,Ravindra Jadeja,4.0,42,2,12.0,MI,Zayed Cricket Stadium,2020-09-19,2020
72,Kartik Tyagi,3.1,42,0,0.0,SRH,Dubai International Stadium,2020-10-22,2020
73,Ankit Rajpoot,3.0,42,0,0.0,MI,Zayed Cricket Stadium,2020-10-06,2020
74,Chris Jordan,3.0,42,0,0.0,CSK,Dubai International Stadium,2020-10-04,2020
75,Harpreet Brar,4.0,41,0,0.0,CSK,Dubai International Stadium,2020-10-04,2020
76,Abdul Samad,4.0,41,1,24.0,CSK,Dubai International Stadium,2020-10-02,2020
77,Isuru Udana,4.0,41,2,12.0,RR,Zayed Cricket Stadium,2020-10-03,2020
78,Jasprit Bumrah,4.0,41,2,12.0,SRH,Sharjah Cricket Stadium,2020-10-04,2020
79,T Natarajan,4.0,41,2,12.0,CSK,Dubai International Stadium,2020-10-13,2020
80,Marcus Stoinis,4.0,41,2,12.0,KKR,Zayed Cricket Stadium,2020-10-24,2020
81,Sandeep Sharma,4.0,41,2,12.0,MI,Sharjah Cricket Stadium,2020-10-04,2020
82,Tushar Deshpande,2.0,41,0,0.0,PBKS,Dubai International Stadium,2020-10-20,2020
83,Ravindra Jadeja,4.0,40,0,0.0,RR,Sharjah Cricket Stadium,2020-09-22,2020
84,Tushar Deshpande,4.0,40,0,0.0,KKR,Zayed Cricket Stadium,2020-10-24,2020
85,Trent Boult,4.0,40,0,0.0,RR,Zayed Cricket Stadium,2020-10-25,2020
86,Anrich Nortje,4.0,40,0,0.0,SRH,Zayed Cricket Stadium,2020-09-29,2020
87,Daniel Sams,4.0,40,0,0.0,RCB,Zayed Cricket Stadium,2020-11-02,2020
88,Sunil Narine,4.0,40,1,24.0,RR,Dubai International Stadium,2020-09-30,2020
89,Mohammad Shami,4.0,40,1,24.0,SRH,Dubai International Stadium,2020-10-08,2020
90,Trent Boult,4.0,40,1,24.0,RCB,Zayed Cricket Stadium,2020-10-28,2020
91,Jimmy Neesham,4.0,40,1,24.0,RR,Sharjah Cricket Stadium,2020-09-27,2020
92,Isuru Udana,4.0,40,1,24.0,DC,Dubai International Stadium,2020-10-05,2020
93,Shardul Thakur,4.0,40,2,12.0,RCB,Dubai International Stadium,2020-10-10,2020
94,T Natarajan,4.0,40,2,12.0,KKR,Zayed Cricket Stadium,2020-10-18,2020
95,James Pattinson,3.2,40,2,10.0,RR,Zayed Cricket Stadium,2020-10-25,2020
96,Tom Curran,3.1,40,0,0.0,RCB,Zayed Cricket Stadium,2020-10-03,2020
97,Ben Stokes,3.0,40,0,0.0,KKR,Dubai International Stadium,2020-11-01,2020
98,Shivam Mavi,3.0,40,0,0.0,DC,Sharjah Cricket Stadium,2020-10-03,2020
99,Kamlesh Nagarkoti,3.0,40,0,0.0,PBKS,Zayed Cricket Stadium,2020-10-10,2020
100,Mujeeb Ur Rahman,4.0,39,0,0.0,SRH,Dubai International Stadium,2020-10-08,2020
101,Krishnappa Gowtham,4.0,39,0,0.0,DC,Dubai International Stadium,2020-09-20,2020
102,Kuldeep Yadav,4.0,39,0,0.0,MI,Zayed Cricket Stadium,2020-09-23,2020
103,Ravi Bishnoi,4.0,39,0,0.0,CSK,Zayed Cricket Stadium,2020-11-01,2020
104,Ankit Rajpoot,4.0,39,1,24.0,KKR,Dubai International Stadium,2020-09-30,2020
105,Tushar Deshpande,4.0,39,1,24.0,CSK,Sharjah Cricket Stadium,2020-10-17,2020
106,Shardul Thakur,4.0,39,1,24.0,DC,Sharjah Cricket Stadium,2020-10-17,2020
107,Ankit Rajpoot,4.0,39,1,24.0,PBKS,Sharjah Cricket Stadium,2020-09-27,2020
108,Shardul Thakur,4.0,39,2,12.0,PBKS,Dubai International Stadium,2020-10-04,2020
109,Lungi Ngidi,4.0,39,3,8.0,PBKS,Zayed Cricket Stadium,2020-11-01,2020
110,Deepak Chahar,4.0,38,0,0.0,DC,Dubai International Stadium,2020-09-25,2020
111,Jasprit Bumrah,4.0,38,0,0.0,RR,Zayed Cricket Stadium,2020-10-25,2020
112,Pat Cummins,4.0,38,0,0.0,RCB,Sharjah Cricket Stadium,2020-10-12,2020
113,Washington Sundar,4.0,38,0,0.0,PBKS,Sharjah Cricket Stadium,2020-10-15,2020
114,T Natarajan,4.0,38,0,0.0,MI,Sharjah Cricket Stadium,2020-11-03,2020
115,Dwayne Bravo,4.0,38,0,0.0,PBKS,Dubai International Stadium,2020-10-04,2020
116,Shreyas Gopal,4.0,38,1,24.0,CSK,Sharjah Cricket Stadium,2020-09-22,2020
117,Lungi Ngidi,4.0,38,3,8.0,MI,Zayed Cricket Stadium,2020-09-19,2020
118,Jofra Archer,3.4,38,0,0.0,RCB,Dubai International Stadium,2020-10-17,2020
119,Chris Jordan,4.0,37,0,0.0,KKR,Zayed Cricket Stadium,2020-10-10,2020
120,Navdeep Saini,4.0,37,0,0.0,PBKS,Dubai International Stadium,2020-09-24,2020
121,Ravi Bishnoi,4.0,37,0,0.0,MI,Zayed Cricket Stadium,2020-10-01,2020
122,Sunil Narine,4.0,37,0,0.0,DC,Zayed Cricket Stadium,2020-10-24,2020
123,Sunil Narine,4.0,37,0,0.0,RR,Dubai International Stadium,2020-11-01,2020
124,Tom Curran,4.0,37,1,24.0,KKR,Dubai International Stadium,2020-09-30,2020
125,Navdeep Saini,4.0,37,1,24.0,RR,Zayed Cricket Stadium,2020-10-03,2020
126,Krunal Pandya,4.0,37,1,24.0,CSK,Zayed Cricket Stadium,2020-09-19,2020
127,Anrich Nortje,4.0,37,1,24.0,SRH,Dubai International Stadium,2020-10-27,2020
128,Yuzvendra Chahal,4.0,37,2,12.0,MI,Zayed Cricket Stadium,2020-10-28,2020
129,Karn Sharma,4.0,37,2,12.0,SRH,Dubai International Stadium,2020-10-13,2020
130,Tushar Deshpande,4.0,37,2,12.0,RR,Dubai International Stadium,2020-10-14,2020
131,Dwayne Bravo,4.0,37,3,8.0,KKR,Zayed Cricket Stadium,2020-10-07,2020
132,Rahul Tewatia,4.0,37,3,8.0,CSK,Sharjah Cricket Stadium,2020-09-22,2020
133,Khaleel Ahmed,3.5,37,2,11.5,RR,Dubai International Stadium,2020-10-11,2020
134,Krunal Pandya,3.1,37,0,0.0,SRH,Sharjah Cricket Stadium,2020-11-03,2020
135,Sam Curran,3.0,37,0,0.0,SRH,Dubai International Stadium,2020-10-02,2020
136,James Pattinson,3.0,37,0,0.0,DC,Zayed Cricket Stadium,2020-10-11,2020
137,Kamlesh Nagarkoti,4.0,36,0,0.0,RCB,Sharjah Cricket Stadium,2020-10-12,2020
138,Axar Patel,4.0,36,0,0.0,SRH,Dubai International Stadium,2020-10-27,2020
139,Sandeep Sharma,4.0,36,0,0.0,RCB,Dubai International Stadium,2020-09-21,2020
140,Rahul Chahar,4.0,36,0,0.0,SRH,Sharjah Cricket Stadium,2020-11-03,2020
141,Anrich Nortje,4.0,36,0,0.0,SRH,Zayed Cricket Stadium,2020-11-08,2020
142,Trent Boult,4.0,36,1,24.0,DC,Zayed Cricket Stadium,2020-10-11,2020
143,Kieron Pollard,4.0,36,1,24.0,DC,Dubai International Stadium,2020-11-05,2020
144,Kartik Tyagi,4.0,36,1,24.0,MI,Zayed Cricket Stadium,2020-10-06,2020
145,Rahul Chahar,4.0,36,1,24.0,CSK,Zayed Cricket Stadium,2020-09-19,2020
146,Mohammad Shami,4.0,36,1,24.0,MI,Zayed Cricket Stadium,2020-10-01,2020
147,Chris Morris,4.0,36,1,24.0,MI,Zayed Cricket Stadium,2020-10-28,2020
148,Kartik Tyagi,4.0,36,2,12.0,KKR,Dubai International Stadium,2020-11-01,2020
149,Chris Morris,3.4,36,1,22.0,CSK,Dubai International Stadium,2020-10-25,2020
150,Rahul Chahar,3.0,36,0,0.0,RR,Zayed Cricket Stadium,2020-10-25,2020
1,Lungi Ngidi,4.0,62,0,0.0,MI,Arun Jaitley Stadium,2021-05-01,2021
2,Pat Cummins,4.0,58,0,0.0,CSK,Wankhede Stadium,2021-04-21,2021
3,Sam Curran,4.0,58,1,24.0,KKR,Wankhede Stadium,2021-04-21,2021
4,Sam Curran,4.0,56,0,0.0,KKR,Zayed Cricket Stadium,2021-09-26,2021
5,Lockie Ferguson,4.0,56,0,0.0,CSK,Dubai International Stadium,2021-10-15,2021
6,Siddarth Kaul,4.0,56,0,0.0,MI,Zayed Cricket Stadium,2021-10-08,2021
7,Shardul Thakur,4.0,56,1,24.0,MI,Arun Jaitley Stadium,2021-05-01,2021
8,Jasprit Bumrah,4.0,56,1,24.0,CSK,Arun Jaitley Stadium,2021-05-01,2021
9,Sam Curran,4.0,55,0,0.0,RR,Zayed Cricket Stadium,2021-10-02,2021
10,Jhye Richardson,4.0,55,1,24.0,RR,Wankhede Stadium,2021-04-12,2021
11,Josh Hazlewood,4.0,54,0,0.0,RR,Zayed Cricket Stadium,2021-10-02,2021
12,Harshal Patel,4.0,53,0,0.0,PBKS,Narendra Modi Stadium,2021-04-30,2021
13,Mohammad Shami,4.0,53,0,0.0,DC,Wankhede Stadium,2021-04-18,2021
14,Shardul Thakur,3.4,53,2,11.0,DC,Wankhede Stadium,2021-04-10,2021
15,Jason Holder,4.0,52,4,6.0,MI,Zayed Cricket Stadium,2021-10-08,2021
16,Mustafizur Rahman,4.0,51,0,0.0,CSK,Zayed Cricket Stadium,2021-10-02,2021
17,Harshal Patel,4.0,51,3,8.0,CSK,Wankhede Stadium,2021-04-25,2021
18,Chris Morris,4.0,50,0,0.0,RCB,Dubai International Stadium,2021-09-29,2021
19,Sandeep Sharma,4.0,50,1,24.0,RR,Arun Jaitley Stadium,2021-05-02,2021
20,Prasidh Krishna,4.0,49,0,0.0,CSK,Wankhede Stadium,2021-04-21,2021
21,Riley Meredith,4.0,49,1,24.0,RR,Wankhede Stadium,2021-04-12,2021
22,Dhawal Kulkarni,4.0,48,0,0.0,CSK,Arun Jaitley Stadium,2021-05-01,2021
23,Adam Milne,4.0,48,1,24.0,RCB,Dubai International Stadium,2021-09-26,2021
24,Umran Malik,4.0,48,1,24.0,MI,Zayed Cricket Stadium,2021-10-08,2021
25,Deepak Chahar,4.0,48,1,24.0,PBKS,Dubai International Stadium,2021-10-07,2021
26,Shardul Thakur,3.1,48,0,0.0,KKR,Wankhede Stadium,2021-04-21,2021
27,Chris Morris,4.0,47,0,0.0,PBKS,Dubai International Stadium,2021-09-21,2021
28,Avesh Khan,4.0,47,1,24.0,CSK,Dubai International Stadium,2021-10-10,2021
29,Ravichandran Ashwin,4.0,47,1,24.0,CSK,Wankhede Stadium,2021-04-10,2021
30,Harshal Patel,4.0,47,3,8.0,RR,Wankhede Stadium,2021-04-22,2021
31,Nathan Ellis,4.0,46,0,0.0,KKR,Dubai International Stadium,2021-10-01,2021
32,Bhuvneshwar Kumar,4.0,45,0,0.0,MI,Chidambaram,2021-04-17,2021
33,Mustafizur Rahman,4.0,45,0,0.0,PBKS,Wankhede Stadium,2021-04-12,2021
34,Rahul Tewatia,4.0,45,1,24.0,SRH,Arun Jaitley Stadium,2021-05-02,2021
35,Bhuvneshwar Kumar,4.0,45,1,24.0,KKR,Chidambaram,2021-04-11,2021
36,Jagadeesha Suchith,3.0,45,0,0.0,CSK,Arun Jaitley Stadium,2021-04-28,2021
37,Shardul Thakur,4.0,44,0,0.0,SRH,Arun Jaitley Stadium,2021-04-28,2021
38,Mohammed Siraj,4.0,44,1,24.0,DC,Narendra Modi Stadium,2021-04-27,2021
39,Murugan Ashwin,4.0,43,0,0.0,RR,Wankhede Stadium,2021-04-12,2021
40,Rahul Chahar,4.0,43,0,0.0,RCB,Chidambaram,2021-04-09,2021
41,Kagiso Rabada,4.0,43,1,24.0,PBKS,Wankhede Stadium,2021-04-18,2021
42,Prasidh Krishna,4.0,43,2,12.0,MI,Zayed Cricket Stadium,2021-09-23,2021
43,Jasprit Bumrah,4.0,43,3,8.0,KKR,Zayed Cricket Stadium,2021-09-23,2021
44,Khaleel Ahmed,4.0,42,0,0.0,DC,Chidambaram,2021-04-25,2021
45,Ravi Bishnoi,4.0,42,0,0.0,DC,Narendra Modi Stadium,2021-05-02,2021
46,Mohammad Shami,4.0,42,1,24.0,MI,Zayed Cricket Stadium,2021-09-28,2021
47,Prasidh Krishna,4.0,42,1,24.0,MI,Chidambaram,2021-04-13,2021
48,Chris Woakes,4.0,42,1,24.0,PBKS,Wankhede Stadium,2021-04-18,2021
49,Trent Boult,4.0,42,1,24.0,CSK,Arun Jaitley Stadium,2021-05-01,2021
50,Arshdeep Singh,3.0,42,0,0.0,RCB,Sharjah Cricket Stadium,2021-10-03,2021
51,Vijay Shankar,3.0,42,1,18.0,RR,Arun Jaitley Stadium,2021-05-02,2021
52,Khaleel Ahmed,4.0,41,0,0.0,RR,Arun Jaitley Stadium,2021-05-02,2021
53,Yuzvendra Chahal,4.0,41,0,0.0,MI,Chidambaram,2021-04-09,2021
54,Prasidh Krishna,4.0,41,1,24.0,CSK,Zayed Cricket Stadium,2021-09-26,2021
55,Ravichandran Ashwin,4.0,41,1,24.0,MI,Sharjah Cricket Stadium,2021-10-02,2021
56,Chris Morris,4.0,41,2,12.0,PBKS,Wankhede Stadium,2021-04-12,2021
57,Jhye Richardson,4.0,41,2,12.0,DC,Wankhede Stadium,2021-04-18,2021
58,Sunil Narine,4.0,41,3,8.0,CSK,Zayed Cricket Stadium,2021-09-26,2021
59,Kyle Jamieson,3.0,41,3,6.0,KKR,Chidambaram,2021-04-18,2021
60,Wanindu Hasaranga,4.0,40,0,0.0,CSK,Sharjah Cricket Stadium,2021-09-24,2021
61,Tim Southee,4.0,40,0,0.0,PBKS,Dubai International Stadium,2021-10-01,2021
62,Jaydev Unadkat,4.0,40,0,0.0,CSK,Wankhede Stadium,2021-04-19,2021
63,Kartik Tyagi,4.0,40,1,24.0,DC,Zayed Cricket Stadium,2021-09-25,2021
64,Tom Curran,4.0,40,1,24.0,CSK,Wankhede Stadium,2021-04-10,2021
65,Rashid Khan,4.0,40,2,12.0,MI,Zayed Cricket Stadium,2021-10-08,2021
66,Josh Hazlewood,4.0,40,2,12.0,KKR,Zayed Cricket Stadium,2021-09-26,2021
67,Nathan Coulter-Nile,4.0,40,2,12.0,SRH,Zayed Cricket Stadium,2021-10-08,2021
68,Shreyas Gopal,3.0,40,0,0.0,PBKS,Wankhede Stadium,2021-04-12,2021
69,Akash Singh,4.0,39,0,0.0,CSK,Zayed Cricket Stadium,2021-10-02,2021
70,Ishan Porel,4.0,39,1,24.0,RR,Dubai International Stadium,2021-09-21,2021
71,Avesh Khan,4.0,39,1,24.0,PBKS,Narendra Modi Stadium,2021-05-02,2021
72,Axar Patel,4.0,39,1,24.0,RCB,Dubai International Stadium,2021-10-08,2021
73,Rashid Khan,4.0,39,1,24.0,RCB,Zayed Cricket Stadium,2021-10-06,2021
74,Varun Chakaravarthy,4.0,39,2,12.0,RCB,Chidambaram,2021-04-18,2021
75,Jasprit Bumrah,4.0,39,2,12.0,SRH,Zayed Cricket Stadium,2021-10-08,2021
76,Rahul Tewatia,4.0,39,3,8.0,CSK,Zayed Cricket Stadium,2021-10-02,2021
77,Mohammad Shami,4.0,39,3,8.0,RCB,Sharjah Cricket Stadium,2021-10-03,2021
78,Fabian Allen,4.0,38,0,0.0,KKR,Dubai International Stadium,2021-10-01,2021
79,Varun Chakaravarthy,4.0,38,0,0.0,CSK,Dubai International Stadium,2021-10-15,2021
80,Chetan Sakariya,4.0,38,0,0.0,SRH,Arun Jaitley Stadium,2021-05-02,2021
81,Harbhajan Singh,4.0,38,0,0.0,RCB,Chidambaram,2021-04-18,2021
82,Kagiso Rabada,4.0,38,1,24.0,RCB,Narendra Modi Stadium,2021-04-27,2021
83,Piyush Chawla,4.0,38,1,24.0,SRH,Zayed Cricket Stadium,2021-10-08,2021
84,Shardul Thakur,4.0,38,3,8.0,KKR,Dubai International Stadium,2021-10-15,2021
85,Chris Morris,3.0,38,0,0.0,RCB,Wankhede Stadium,2021-04-22,2021
86,Andre Russell,2.0,38,0,0.0,RCB,Chidambaram,2021-04-18,2021
87,Bhuvneshwar Kumar,4.0,37,0,0.0,RR,Arun Jaitley Stadium,2021-05-02,2021
88,Ishant Sharma,4.0,37,0,0.0,PBKS,Narendra Modi Stadium,2021-05-02,2021
89,Kagiso Rabada,4.0,37,0,0.0,RCB,Dubai International Stadium,2021-10-08,2021
90,Deepak Chahar,4.0,37,0,0.0,MI,Arun Jaitley Stadium,2021-05-01,2021
91,Mustafizur Rahman,4.0,37,1,24.0,CSK,Wankhede Stadium,2021-04-19,2021
92,Shardul Thakur,4.0,37,1,24.0,SRH,Sharjah Cricket Stadium,2021-09-30,2021
93,T Natarajan,4.0,37,1,24.0,KKR,Chidambaram,2021-04-11,2021
94,Anrich Nortje,4.0,37,1,24.0,CSK,Dubai International Stadium,2021-10-04,2021
95,Trent Boult,4.0,37,1,24.0,RR,Arun Jaitley Stadium,2021-04-29,2021
96,Ravindra Jadeja,4.0,37,2,12.0,KKR,Dubai International Stadium,2021-10-15,2021
97,Harshal Patel,4.0,37,2,12.0,DC,Narendra Modi Stadium,2021-04-27,2021
98,Kagiso Rabada,4.0,37,3,8.0,SRH,Dubai International Stadium,2021-09-22,2021
99,Mustafizur Rahman,3.3,37,1,21.0,MI,Arun Jaitley Stadium,2021-04-29,2021
100,Jayant Yadav,3.0,37,0,0.0,RR,Arun Jaitley Stadium,2021-04-29,2021
101,Andre Russell,3.0,37,0,0.0,MI,Zayed Cricket Stadium,2021-09-23,2021
102,Mohammad Shami,3.0,37,0,0.0,DC,Narendra Modi Stadium,2021-05-02,2021
103,Deepak Hooda,2.0,37,0,0.0,RR,Dubai International Stadium,2021-09-21,2021
104,Khaleel Ahmed,4.0,36,0,0.0,CSK,Arun Jaitley Stadium,2021-04-28,2021
105,Sunil Narine,4.0,36,0,0.0,DC,Narendra Modi Stadium,2021-04-29,2021
106,Shivam Mavi,4.0,36,0,0.0,RCB,Sharjah Cricket Stadium,2021-10-11,2021
107,Deepak Chahar,4.0,36,0,0.0,DC,Wankhede Stadium,2021-04-10,2021
108,Varun Chakaravarthy,4.0,36,0,0.0,SRH,Chidambaram,2021-04-11,2021
109,Trent Boult,4.0,36,1,24.0,RCB,Chidambaram,2021-04-09,2021
110,Shahbaz Nadeem,4.0,36,1,24.0,RCB,Chidambaram,2021-04-14,2021
111,Siddarth Kaul,4.0,36,2,12.0,RR,Dubai International Stadium,2021-09-27,2021
